,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,2,18,10,0,0,20.00,8,caught,1,,v Ireland,Abu Dhabi,21 Jan 2021,ODI # 4271
2,15*,31,15,2,0,100.00,6,not out,1,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
3,9,26,16,1,0,56.25,4,stumped,2,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
4,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
5,DNB,-,-,-,-,-,-,-,1,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
6,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
7,9,-,15,2,0,60.00,7,caught,2,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
8,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
9,28,36,31,4,1,90.32,7,caught,2,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
10,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
11,2,9,7,0,0,28.57,8,caught,1,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
12,56,118,71,1,3,78.87,7,caught,1,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
13,16*,18,12,3,0,133.33,7,retired notout,2,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
14,22,32,20,4,0,110.00,7,bowled,1,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
15,62,82,69,2,4,89.85,5,bowled,1,,v India,Delhi,11 Oct 2023,ODI # 4666
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,,,
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,2,18,10,0,0,20.00,8,caught,1,,v Ireland,Abu Dhabi,21 Jan 2021,ODI # 4271
2,15*,31,15,2,0,100.00,6,not out,1,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
3,9,26,16,1,0,56.25,4,stumped,2,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
4,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
5,DNB,-,-,-,-,-,-,-,1,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
6,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
7,9,-,15,2,0,60.00,7,caught,2,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
8,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
9,28,36,31,4,1,90.32,7,caught,2,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
10,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
11,2,9,7,0,0,28.57,8,caught,1,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
12,56,118,71,1,3,78.87,7,caught,1,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
13,16*,18,12,3,0,133.33,7,retired notout,2,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
14,22,32,20,4,0,110.00,7,bowled,1,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
15,62,82,69,2,4,89.85,5,bowled,1,,v India,Delhi,11 Oct 2023,ODI # 4666
