,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,27,0,6.75,5,2,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
2,3.2,0,23,0,6.90,6,1,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
3,10.0,0,83,1,8.30,3,2,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,27,0,6.75,5,2,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
2,3.2,0,23,0,6.90,6,1,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
3,10.0,0,83,1,8.30,3,2,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
