,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,1,30,1,5.00,1,2,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
2,10.0,1,54,4,5.40,1,2,,v Bangladesh,Chattogram,23 Feb 2022,ODI # 4357
3,10.0,1,59,1,5.90,1,1,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
4,7.5,0,33,1,4.21,1,1,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
5,9.0,1,41,2,4.55,1,2,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
6,8.0,1,34,2,4.25,1,1,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
7,8.0,0,25,2,3.12,1,1,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
8,9.0,0,49,4,5.44,1,2,,v Sri Lanka,Pallekele,25 Nov 2022,ODI # 4485
9,1.4,0,8,0,4.80,1,2,,v Sri Lanka,Pallekele,27 Nov 2022,ODI # 4488
10,9.4,0,70,0,7.24,1,2,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
11,9.0,0,58,2,6.44,1,1,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
12,7.0,0,44,0,6.28,1,1,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
13,4.0,0,33,0,8.25,1,2,,v Sri Lanka,Hambantota,7 Jun 2023,ODI # 4583
14,8.4,1,24,3,2.76,1,1,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
15,7.2,1,22,3,3.00,1,2,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
16,5.0,1,26,2,5.20,1,2,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
17,8.0,0,51,1,6.37,1,1,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
18,9.5,0,69,3,7.01,1,2,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
19,7.0,0,45,1,6.42,1,1,,v Pakistan,Colombo (RPS),26 Aug 2023,ODI # 4627
20,6.0,1,53,0,8.83,1,1,,v Bangladesh,Lahore,3 Sep 2023,ODI # 4631
21,7.0,1,52,0,7.42,1,1,,v Sri Lanka,Lahore,5 Sep 2023,ODI # 4633
22,5.0,0,19,1,3.80,1,2,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
23,6.0,0,50,0,8.33,1,2,,v India,Delhi,11 Oct 2023,ODI # 4666
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,1,30,1,5.00,1,2,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
2,10.0,1,54,4,5.40,1,2,,v Bangladesh,Chattogram,23 Feb 2022,ODI # 4357
3,10.0,1,59,1,5.90,1,1,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
4,7.5,0,33,1,4.21,1,1,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
5,9.0,1,41,2,4.55,1,2,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
6,8.0,1,34,2,4.25,1,1,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
7,8.0,0,25,2,3.12,1,1,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
8,9.0,0,49,4,5.44,1,2,,v Sri Lanka,Pallekele,25 Nov 2022,ODI # 4485
9,1.4,0,8,0,4.80,1,2,,v Sri Lanka,Pallekele,27 Nov 2022,ODI # 4488
10,9.4,0,70,0,7.24,1,2,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
11,9.0,0,58,2,6.44,1,1,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
12,7.0,0,44,0,6.28,1,1,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
13,4.0,0,33,0,8.25,1,2,,v Sri Lanka,Hambantota,7 Jun 2023,ODI # 4583
14,8.4,1,24,3,2.76,1,1,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
15,7.2,1,22,3,3.00,1,2,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
16,5.0,1,26,2,5.20,1,2,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
17,8.0,0,51,1,6.37,1,1,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
18,9.5,0,69,3,7.01,1,2,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
19,7.0,0,45,1,6.42,1,1,,v Pakistan,Colombo (RPS),26 Aug 2023,ODI # 4627
20,6.0,1,53,0,8.83,1,1,,v Bangladesh,Lahore,3 Sep 2023,ODI # 4631
21,7.0,1,52,0,7.42,1,1,,v Sri Lanka,Lahore,5 Sep 2023,ODI # 4633
22,5.0,0,19,1,3.80,1,2,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
23,6.0,0,50,0,8.33,1,2,,v India,Delhi,11 Oct 2023,ODI # 4666
