,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,8.0,0,41,0,5.12,5,2,,v Scotland,Benoni,19 Apr 2009,ODI # 2842
2,9.0,0,24,0,2.66,4,1,,v Netherlands,Amstelveen,30 Aug 2009,ODI # 2880
3,8.0,0,28,0,3.50,4,1,,v Netherlands,Amstelveen,1 Sep 2009,ODI # 2881
4,10.0,0,45,2,4.50,6,2,,v Canada,Sharjah,16 Feb 2010,ODI # 2957
5,8.0,1,23,2,2.87,5,2,,v Canada,Sharjah,18 Feb 2010,ODI # 2959
6,10.0,0,48,0,4.80,4,1,,v Canada,The Hague,1 Jul 2010,ODI # 3005
7,10.0,0,55,1,5.50,4,1,,v Ireland,Rotterdam,3 Jul 2010,ODI # 3008
8,10.0,0,49,0,4.90,3,1,,v Kenya,Amstelveen,5 Jul 2010,ODI # 3012
9,4.0,0,12,0,3.00,5,1,,v Netherlands,The Hague,7 Jul 2010,ODI # 3017
10,9.0,1,31,2,3.44,3,2,,v Scotland,Rotterdam,9 Jul 2010,ODI # 3019
11,9.0,2,42,1,4.66,3,1,,v Netherlands,Rotterdam,10 Jul 2010,ODI # 3024
12,6.0,0,23,0,3.83,4,1,,v Scotland,Ayr,16 Aug 2010,ODI # 3033
13,DNB,-,-,-,-,-,2,,v Scotland,Ayr,17 Aug 2010,ODI # 3035
14,8.0,2,32,0,4.00,2,1,,v Kenya,Nairobi (Gym),7 Oct 2010,ODI # 3052
15,4.0,0,14,1,3.50,2,1,,v Kenya,Nairobi (Gym),9 Oct 2010,ODI # 3053
16,6.0,0,33,0,5.50,2,2,,v Kenya,Nairobi (Gym),11 Oct 2010,ODI # 3055
17,9.5,2,31,4,3.15,4,1,,v Canada,King City (NW),7 Aug 2011,ODI # 3173
18,4.0,0,16,1,4.00,4,2,,v Canada,Toronto,9 Aug 2011,ODI # 3174
19,5.1,0,29,0,5.61,6,2,,v Pakistan,Sharjah,10 Feb 2012,ODI # 3236
20,5.0,0,37,0,7.40,6,2,,v Netherlands,Sharjah,29 Mar 2012,ODI # 3270
21,10.0,0,48,2,4.80,6,1,,v Netherlands,Sharjah,31 Mar 2012,ODI # 3271
22,10.0,1,28,1,2.80,4,1,,v Ireland,Dublin,5 Jul 2012,ODI # 3282
23,10.0,0,50,2,5.00,7,1,,v Australia,Sharjah,25 Aug 2012,ODI # 3297
24,7.0,0,21,0,3.00,5,1,,v Scotland,Sharjah,6 Mar 2013,ODI # 3341
25,10.0,1,53,2,5.30,5,1,,v Scotland,Sharjah,8 Mar 2013,ODI # 3342
26,4.0,0,9,0,2.25,7,1,,v Kenya,Sharjah,2 Oct 2013,ODI # 3417
27,8.3,4,10,2,1.17,4,1,,v Kenya,Sharjah,4 Oct 2013,ODI # 3418
28,8.0,0,46,0,5.75,3,1,,v Pakistan,Fatullah,27 Feb 2014,ODI # 3475
29,9.4,0,44,3,4.55,5,2,,v Bangladesh,Fatullah,1 Mar 2014,ODI # 3478
30,6.4,1,23,0,3.45,5,1,,v Sri Lanka,Mirpur,3 Mar 2014,ODI # 3481
31,10.0,0,30,1,3.00,1,2,,v India,Mirpur,5 Mar 2014,ODI # 3483
32,10.0,0,35,2,3.50,7,1,,v Hong Kong,Kuala Lumpur,1 May 2014,ODI # 3487
33,6.0,0,19,1,3.16,4,2,,v U.A.E.,Kuala Lumpur,2 May 2014,ODI # 3488
34,10.0,0,40,1,4.00,5,2,,v Zimbabwe,Bulawayo,18 Jul 2014,ODI # 3503
35,10.0,0,42,0,4.20,4,2,,v Zimbabwe,Bulawayo,20 Jul 2014,ODI # 3504
36,10.0,0,56,1,5.60,6,1,,v Zimbabwe,Bulawayo,22 Jul 2014,ODI # 3505
37,5.0,1,15,1,3.00,1,2,,v Zimbabwe,Bulawayo,24 Jul 2014,ODI # 3506
38,10.0,0,41,2,4.10,3,2,,v U.A.E.,ICCA Dubai,28 Nov 2014,ODI # 3556
39,8.0,0,35,1,4.37,4,2,,v U.A.E.,ICCA Dubai,30 Nov 2014,ODI # 3558
40,10.0,0,46,0,4.60,3,1,,v U.A.E.,ICCA Dubai,2 Dec 2014,ODI # 3560
41,10.0,0,62,2,6.20,1,1,,v U.A.E.,ICCA Dubai,4 Dec 2014,ODI # 3562
42,9.0,0,46,1,5.11,5,1,,v Scotland,ICCA Dubai,8 Jan 2015,ODI # 3572
43,10.0,0,39,2,3.90,2,2,,v Ireland,Dubai (DSC),10 Jan 2015,ODI # 3573
44,10.0,0,51,0,5.10,5,1,,v Scotland,Abu Dhabi,14 Jan 2015,ODI # 3576
45,8.0,0,20,1,2.50,4,2,,v Ireland,Dubai (DSC),17 Jan 2015,ODI # 3581
46,9.0,0,58,1,6.44,5,1,,v Bangladesh,Canberra,18 Feb 2015,ODI # 3605
47,5.2,0,28,0,5.25,5,2,,v Sri Lanka,Dunedin,22 Feb 2015,ODI # 3609
48,10.0,0,38,1,3.80,5,1,,v Scotland,Dunedin,26 Feb 2015,ODI # 3614
49,10.0,0,84,0,8.40,4,1,,v Australia,Perth,4 Mar 2015,ODI # 3623
50,7.1,0,39,1,5.44,4,2,,v New Zealand,Napier,8 Mar 2015,ODI # 3628
51,4.1,0,14,0,3.36,4,2,,v England,Sydney,13 Mar 2015,ODI # 3635
52,2.0,0,10,0,5.00,5,2,,v Zimbabwe,Bulawayo,16 Oct 2015,ODI # 3693
53,7.0,0,39,1,5.57,3,2,,v Zimbabwe,Bulawayo,18 Oct 2015,ODI # 3694
54,9.0,0,30,0,3.33,4,2,,v Zimbabwe,Bulawayo,20 Oct 2015,ODI # 3696
55,9.0,0,34,1,3.77,3,1,,v Zimbabwe,Bulawayo,22 Oct 2015,ODI # 3697
56,8.0,0,33,0,4.12,3,2,,v Zimbabwe,Bulawayo,24 Oct 2015,ODI # 3699
57,5.0,0,15,3,3.00,5,2,,v Zimbabwe,Sharjah,25 Dec 2015,ODI # 3713
58,10.0,0,49,2,4.90,4,1,,v Zimbabwe,Sharjah,29 Dec 2015,ODI # 3716
59,9.0,0,47,1,5.22,3,1,,v Zimbabwe,Sharjah,2 Jan 2016,ODI # 3719
60,5.0,0,26,0,5.20,6,1,,v Zimbabwe,Sharjah,4 Jan 2016,ODI # 3720
61,10.0,1,23,2,2.30,6,1,,v Zimbabwe,Sharjah,6 Jan 2016,ODI # 3722
62,TDNB,-,-,-,-,-,-,,v Scotland,Edinburgh,4 Jul 2016,ODI # 3759
63,5.0,0,26,3,5.20,3,2,,v Scotland,Edinburgh,6 Jul 2016,ODI # 3760
64,9.0,0,45,3,5.00,1,2,,v Ireland,Belfast,12 Jul 2016,ODI # 3761
65,8.0,1,42,1,5.25,3,2,,v Ireland,Belfast,14 Jul 2016,ODI # 3762
66,6.0,0,17,0,2.83,3,2,,v Ireland,Belfast,17 Jul 2016,ODI # 3763
67,9.0,0,38,1,4.22,4,1,,v Ireland,Belfast,19 Jul 2016,ODI # 3764
68,10.0,0,40,2,4.00,3,1,,v Bangladesh,Mirpur,25 Sep 2016,ODI # 3781
69,10.0,3,16,2,1.60,1,1,,v Bangladesh,Mirpur,28 Sep 2016,ODI # 3783
70,10.0,1,41,2,4.10,1,1,,v Bangladesh,Mirpur,1 Oct 2016,ODI # 3786
71,7.0,0,26,1,3.71,3,2,,v Zimbabwe,Harare,16 Feb 2017,ODI # 3835
72,9.0,0,38,3,4.22,3,2,,v Zimbabwe,Harare,19 Feb 2017,ODI # 3837
73,7.0,0,26,1,3.71,4,1,,v Zimbabwe,Harare,21 Feb 2017,ODI # 3838
74,5.2,1,11,2,2.06,5,2,,v Zimbabwe,Harare,24 Feb 2017,ODI # 3840
75,3.5,0,14,3,3.65,4,2,,v Zimbabwe,Harare,26 Feb 2017,ODI # 3842
76,9.0,0,38,0,4.22,4,2,,v Ireland,Greater Noida,15 Mar 2017,ODI # 3850
77,9.0,1,70,0,7.77,3,2,,v Ireland,Greater Noida,17 Mar 2017,ODI # 3851
78,9.0,0,64,1,7.11,4,2,,v Ireland,Greater Noida,19 Mar 2017,ODI # 3852
79,9.0,0,30,4,3.33,4,2,,v Ireland,Greater Noida,22 Mar 2017,ODI # 3853
80,10.0,0,45,0,4.50,4,1,,v Ireland,Greater Noida,24 Mar 2017,ODI # 3854
81,10.0,0,34,0,3.40,2,2,,v West Indies,Gros Islet,9 Jun 2017,ODI # 3884
82,10.0,0,33,1,3.30,2,2,,v West Indies,Gros Islet,11 Jun 2017,ODI # 3887
83,TDNB,-,-,-,-,-,-,,v West Indies,Gros Islet,14 Jun 2017,ODI # 3890
84,5.0,0,14,1,2.80,4,2,,v Ireland,Sharjah,5 Dec 2017,ODI # 3935
85,10.0,0,61,2,6.10,4,1,,v Ireland,Sharjah,7 Dec 2017,ODI # 3937
86,9.0,0,28,2,3.11,5,2,,v Ireland,Sharjah,10 Dec 2017,ODI # 3940
87,7.0,2,25,1,3.57,3,2,,v Zimbabwe,Sharjah,9 Feb 2018,ODI # 3972
88,10.0,0,33,0,3.30,5,1,,v Zimbabwe,Sharjah,11 Feb 2018,ODI # 3974
