,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,2,24,4,2.40,2,2,,v Ireland,Sharjah,5 Dec 2017,ODI # 3935
2,10.0,0,50,2,5.00,1,1,,v Ireland,Sharjah,7 Dec 2017,ODI # 3937
3,10.0,1,42,1,4.20,2,2,,v Ireland,Sharjah,10 Dec 2017,ODI # 3940
4,8.0,2,41,2,5.12,1,2,,v Zimbabwe,Sharjah,9 Feb 2018,ODI # 3972
5,10.0,0,47,1,4.70,1,1,,v Zimbabwe,Sharjah,11 Feb 2018,ODI # 3974
6,10.0,1,45,3,4.50,2,1,,v Zimbabwe,Sharjah,13 Feb 2018,ODI # 3975
7,10.0,0,50,5,5.00,2,1,,v Zimbabwe,Sharjah,16 Feb 2018,ODI # 3977
8,8.0,1,28,1,3.50,1,2,,v Zimbabwe,Sharjah,19 Feb 2018,ODI # 3979
9,10.0,1,47,2,4.70,2,2,,v Scotland,Bulawayo,4 Mar 2018,ODI # 3983
10,9.0,1,49,3,5.44,1,1,,v Zimbabwe,Bulawayo,6 Mar 2018,ODI # 3988
11,10.0,1,26,3,2.60,2,1,,v Hong Kong,Bulawayo,8 Mar 2018,ODI # 3990
12,10.0,1,33,3,3.30,2,1,,v West Indies,Harare,15 Mar 2018,ODI # 3997
13,9.0,2,26,1,2.88,2,1,,v U.A.E.,Harare,20 Mar 2018,ODI # 4003
14,10.0,0,31,0,3.10,2,1,,v Ireland,Harare,23 Mar 2018,ODI # 4006
15,9.5,0,43,4,4.37,2,1,,v West Indies,Harare,25 Mar 2018,ODI # 4007
16,10.0,0,32,1,3.20,2,2,,v Ireland,Belfast,27 Aug 2018,ODI # 4032
17,10.0,0,41,1,4.10,1,2,,v Ireland,Belfast,29 Aug 2018,ODI # 4033
18,7.0,1,19,0,2.71,2,1,,v Ireland,Belfast,31 Aug 2018,ODI # 4035
19,9.0,1,32,2,3.55,1,2,,v Sri Lanka,Abu Dhabi,17 Sep 2018,ODI # 4038
20,8.1,1,22,2,2.69,2,2,,v Bangladesh,Abu Dhabi,20 Sep 2018,ODI # 4041
21,10.0,2,33,2,3.30,1,2,,v Pakistan,Abu Dhabi,21 Sep 2018,ODI # 4043
22,10.0,0,35,1,3.50,2,1,,v Bangladesh,Abu Dhabi,23 Sep 2018,ODI # 4045
23,10.0,1,43,0,4.30,2,2,,v India,Dubai (DSC),25 Sep 2018,ODI # 4046
24,10.0,3,14,3,1.40,2,1,,v Ireland,Dehradun,28 Feb 2019,ODI # 4100
25,TDNB,-,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,ODI # 4101
26,10.0,0,55,1,5.50,1,2,,v Ireland,Dehradun,5 Mar 2019,ODI # 4105
27,8.0,0,25,2,3.12,1,2,,v Ireland,Dehradun,8 Mar 2019,ODI # 4108
28,10.0,2,26,1,2.60,1,2,,v Ireland,Dehradun,10 Mar 2019,ODI # 4110
29,10.0,0,35,0,3.50,3,1,,v Ireland,Belfast,19 May 2019,ODI # 4139
30,5.0,1,27,0,5.40,2,2,,v Ireland,Belfast,21 May 2019,ODI # 4141
31,4.5,0,45,1,9.31,1,2,,v Australia,Bristol,1 Jun 2019,ODI # 4146
32,3.0,0,19,0,6.33,3,1,,v Sri Lanka,Cardiff,4 Jun 2019,ODI # 4149
33,10.0,0,44,0,4.40,1,1,,v England,Manchester,18 Jun 2019,ODI # 4163
34,10.0,0,26,1,2.60,1,1,,v India,Southampton,22 Jun 2019,ODI # 4169
35,10.0,0,39,3,3.90,1,1,,v Bangladesh,Southampton,24 Jun 2019,ODI # 4172
36,10.0,1,34,2,3.40,1,2,,v Pakistan,Leeds,29 Jun 2019,ODI # 4177
37,10.0,0,52,0,5.20,1,1,,v West Indies,Leeds,4 Jul 2019,ODI # 4184
38,10.0,1,33,2,3.30,1,2,,v West Indies,Lucknow,6 Nov 2019,ODI # 4213
39,10.0,1,52,1,5.20,1,1,,v West Indies,Lucknow,9 Nov 2019,ODI # 4214
40,10.0,1,49,2,4.90,1,2,,v West Indies,Lucknow,11 Nov 2019,ODI # 4215
41,10.0,0,40,2,4.00,2,2,,v Ireland,Abu Dhabi,21 Jan 2021,ODI # 4271
42,10.0,0,46,3,4.60,2,1,,v Ireland,Abu Dhabi,24 Jan 2021,ODI # 4273
43,10.0,0,43,2,4.30,2,2,,v Ireland,Abu Dhabi,26 Jan 2021,ODI # 4275
44,10.0,1,39,2,3.90,2,2,,v Netherlands,Doha,21 Jan 2022,ODI # 4345
45,9.4,0,32,4,3.31,2,2,,v Netherlands,Doha,23 Jan 2022,ODI # 4348
46,7.0,0,29,1,4.14,2,2,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
47,10.0,0,32,1,3.20,2,2,,v Bangladesh,Chattogram,23 Feb 2022,ODI # 4357
48,10.0,0,49,0,4.90,3,1,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
49,8.0,0,37,0,4.62,2,1,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
50,6.0,0,43,0,7.16,4,2,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
51,6.0,0,24,0,4.00,2,1,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
52,10.0,1,23,1,2.30,3,1,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
53,5.0,0,33,0,6.60,3,2,,v Sri Lanka,Pallekele,25 Nov 2022,ODI # 4485
54,1.0,0,2,0,2.00,2,2,,v Sri Lanka,Pallekele,27 Nov 2022,ODI # 4488
55,10.0,0,70,0,7.00,2,2,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
56,10.0,1,45,1,4.50,4,1,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
