,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,62,1,6.20,2,1,,v Bangladesh,Mirpur,25 Sep 2016,ODI # 3781
2,8.2,0,49,1,5.88,4,1,,v Bangladesh,Mirpur,28 Sep 2016,ODI # 3783
3,8.0,1,30,1,3.75,2,2,,v West Indies,Lucknow,6 Nov 2019,ODI # 4213
4,9.0,0,60,3,6.66,2,1,,v West Indies,Lucknow,9 Nov 2019,ODI # 4214
5,9.0,0,68,3,7.55,1,2,,v Ireland,Abu Dhabi,21 Jan 2021,ODI # 4271
6,10.0,0,42,4,4.20,1,1,,v Ireland,Abu Dhabi,24 Jan 2021,ODI # 4273
7,7.1,0,45,1,6.27,1,2,,v Ireland,Abu Dhabi,26 Jan 2021,ODI # 4275
8,5.4,0,31,1,5.47,3,2,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
9,5.0,0,31,0,6.20,3,2,,v India,Delhi,11 Oct 2023,ODI # 4666
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,62,1,6.20,2,1,,v Bangladesh,Mirpur,25 Sep 2016,ODI # 3781
2,8.2,0,49,1,5.88,4,1,,v Bangladesh,Mirpur,28 Sep 2016,ODI # 3783
3,8.0,1,30,1,3.75,2,2,,v West Indies,Lucknow,6 Nov 2019,ODI # 4213
4,9.0,0,60,3,6.66,2,1,,v West Indies,Lucknow,9 Nov 2019,ODI # 4214
5,9.0,0,68,3,7.55,1,2,,v Ireland,Abu Dhabi,21 Jan 2021,ODI # 4271
6,10.0,0,42,4,4.20,1,1,,v Ireland,Abu Dhabi,24 Jan 2021,ODI # 4273
7,7.1,0,45,1,6.27,1,2,,v Ireland,Abu Dhabi,26 Jan 2021,ODI # 4275
8,5.4,0,31,1,5.47,3,2,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
9,5.0,0,31,0,6.20,3,2,,v India,Delhi,11 Oct 2023,ODI # 4666
