,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,32,0,8.00,6,2,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
2,8.0,0,54,1,6.75,5,1,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
3,9.0,0,70,1,7.77,6,1,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,32,0,8.00,6,2,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
2,8.0,0,54,1,6.75,5,1,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
3,9.0,0,70,1,7.77,6,1,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
