,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,2,30,1,3.00,5,2,,v Zimbabwe,Bulawayo,18 Oct 2015,ODI # 3694
2,10.0,0,45,0,4.50,5,2,,v Zimbabwe,Bulawayo,20 Oct 2015,ODI # 3696
3,10.0,0,37,2,3.70,5,1,,v Zimbabwe,Bulawayo,22 Oct 2015,ODI # 3697
4,7.1,0,24,2,3.34,5,2,,v Zimbabwe,Bulawayo,24 Oct 2015,ODI # 3699
5,10.0,1,36,1,3.60,5,1,,v Zimbabwe,Sharjah,2 Jan 2016,ODI # 3719
6,10.0,0,43,3,4.30,5,1,,v Zimbabwe,Sharjah,4 Jan 2016,ODI # 3720
7,10.0,0,59,2,5.90,5,1,,v Zimbabwe,Sharjah,6 Jan 2016,ODI # 3722
8,TDNB,-,-,-,-,-,-,,v Scotland,Edinburgh,4 Jul 2016,ODI # 3759
9,6.0,1,19,2,3.16,4,2,,v Scotland,Edinburgh,6 Jul 2016,ODI # 3760
10,10.0,0,28,3,2.80,5,2,,v Ireland,Belfast,12 Jul 2016,ODI # 3761
11,10.0,0,44,0,4.40,5,2,,v Ireland,Belfast,14 Jul 2016,ODI # 3762
12,8.0,1,21,4,2.62,6,2,,v Ireland,Belfast,17 Jul 2016,ODI # 3763
13,10.0,0,68,0,6.80,6,1,,v Ireland,Belfast,19 Jul 2016,ODI # 3764
14,10.0,0,37,2,3.70,5,1,,v Bangladesh,Mirpur,25 Sep 2016,ODI # 3781
15,10.0,2,35,3,3.50,5,1,,v Bangladesh,Mirpur,28 Sep 2016,ODI # 3783
16,10.0,0,39,2,3.90,5,1,,v Bangladesh,Mirpur,1 Oct 2016,ODI # 3786
17,4.2,0,17,1,3.92,5,2,,v Zimbabwe,Harare,16 Feb 2017,ODI # 3835
18,7.1,0,25,3,3.48,5,2,,v Zimbabwe,Harare,19 Feb 2017,ODI # 3837
19,5.4,0,29,3,5.11,5,1,,v Zimbabwe,Harare,21 Feb 2017,ODI # 3838
20,7.0,0,27,1,3.85,4,2,,v Zimbabwe,Harare,24 Feb 2017,ODI # 3840
21,2.0,0,8,2,4.00,5,2,,v Zimbabwe,Harare,26 Feb 2017,ODI # 3842
