,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,2,-,9,0,0,22.22,2,lbw,1,,v West Indies,Lucknow,11 Nov 2019,ODI # 4215
2,19,63,23,1,1,82.60,2,caught,1,,v Bangladesh,Chattogram,23 Feb 2022,ODI # 4357
3,5,23,18,0,0,27.77,2,caught,1,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
4,121*,-,141,16,0,85.81,2,not out,2,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
5,8,-,30,0,0,26.66,2,caught,2,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
6,106,174,120,11,0,88.33,2,caught,1,,v Sri Lanka,Pallekele,25 Nov 2022,ODI # 4485
7,10,25,18,2,0,55.55,2,bowled,1,,v Sri Lanka,Pallekele,27 Nov 2022,ODI # 4488
8,162,226,138,15,4,117.39,2,caught,1,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
9,98,131,98,11,2,100.00,2,caught,2,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
10,54,123,75,2,2,72.00,2,caught,2,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
11,22,45,21,4,0,104.76,2,bowled,1,,v Sri Lanka,Hambantota,7 Jun 2023,ODI # 4583
12,41*,97,58,5,0,70.68,2,not out,2,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
13,100,223,119,9,1,84.03,2,caught,1,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
14,1,12,6,0,0,16.66,2,caught,1,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
15,0,12,6,0,0,0.00,2,caught,2,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
16,80,178,101,6,2,79.20,2,caught,1,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
17,0,24,11,0,0,0.00,3,caught,2,,v Pakistan,Colombo (RPS),26 Aug 2023,ODI # 4627
18,75,118,74,10,1,101.35,2,caught,2,,v Bangladesh,Lahore,3 Sep 2023,ODI # 4631
19,7,27,14,1,0,50.00,2,bowled,2,,v Sri Lanka,Lahore,5 Sep 2023,ODI # 4633
20,22,41,25,3,1,88.00,2,caught,1,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
21,22,31,28,4,0,78.57,2,caught,1,,v India,Delhi,11 Oct 2023,ODI # 4666
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,,,
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,2,-,9,0,0,22.22,2,lbw,1,,v West Indies,Lucknow,11 Nov 2019,ODI # 4215
2,19,63,23,1,1,82.60,2,caught,1,,v Bangladesh,Chattogram,23 Feb 2022,ODI # 4357
3,5,23,18,0,0,27.77,2,caught,1,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
4,121*,-,141,16,0,85.81,2,not out,2,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
5,8,-,30,0,0,26.66,2,caught,2,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
6,106,174,120,11,0,88.33,2,caught,1,,v Sri Lanka,Pallekele,25 Nov 2022,ODI # 4485
7,10,25,18,2,0,55.55,2,bowled,1,,v Sri Lanka,Pallekele,27 Nov 2022,ODI # 4488
8,162,226,138,15,4,117.39,2,caught,1,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
9,98,131,98,11,2,100.00,2,caught,2,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
10,54,123,75,2,2,72.00,2,caught,2,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
11,22,45,21,4,0,104.76,2,bowled,1,,v Sri Lanka,Hambantota,7 Jun 2023,ODI # 4583
12,41*,97,58,5,0,70.68,2,not out,2,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
13,100,223,119,9,1,84.03,2,caught,1,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
14,1,12,6,0,0,16.66,2,caught,1,,v Bangladesh,Chattogram,11 Jul 2023,ODI # 4621
15,0,12,6,0,0,0.00,2,caught,2,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
16,80,178,101,6,2,79.20,2,caught,1,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
17,0,24,11,0,0,0.00,3,caught,2,,v Pakistan,Colombo (RPS),26 Aug 2023,ODI # 4627
18,75,118,74,10,1,101.35,2,caught,2,,v Bangladesh,Lahore,3 Sep 2023,ODI # 4631
19,7,27,14,1,0,50.00,2,bowled,2,,v Sri Lanka,Lahore,5 Sep 2023,ODI # 4633
20,22,41,25,3,1,88.00,2,caught,1,,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
21,22,31,28,4,0,78.57,2,caught,1,,v India,Delhi,11 Oct 2023,ODI # 4666
