,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,5*,-,10,0,0,50.00,9,not out,1,,v Ireland,Dehradun,2 Mar 2019,ODI # 4101
2,1,-,3,0,0,33.33,5,caught,1,,v Ireland,Dehradun,8 Mar 2019,ODI # 4108
3,2,34,22,0,0,9.09,8,caught,1,,v New Zealand,Taunton,8 Jun 2019,ODI # 4154
4,9,43,33,0,0,27.27,7,caught,1,,v South Africa,Cardiff,15 Jun 2019,ODI # 4160
5,3*,18,10,0,0,30.00,9,not out,2,,v England,Manchester,18 Jun 2019,ODI # 4163
6,7*,28,10,0,0,70.00,9,not out,2,,v India,Southampton,22 Jun 2019,ODI # 4169
7,11,20,12,1,0,91.66,7,run out,2,,v Bangladesh,Southampton,24 Jun 2019,ODI # 4172
8,24,90,66,1,0,36.36,4,caught,1,,v Pakistan,Leeds,29 Jun 2019,ODI # 4177
9,86,142,93,8,0,92.47,3,lbw,2,,v West Indies,Leeds,4 Jul 2019,ODI # 4184
10,58,-,62,6,1,93.54,4,run out,1,,v West Indies,Lucknow,6 Nov 2019,ODI # 4213
11,19,-,36,2,0,52.77,4,caught,2,,v West Indies,Lucknow,9 Nov 2019,ODI # 4214
12,9,-,29,0,0,31.03,4,bowled,1,,v West Indies,Lucknow,11 Nov 2019,ODI # 4215
13,4,22,9,1,0,44.44,5,caught,2,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
14,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,,,
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,5*,-,10,0,0,50.00,9,not out,1,,v Ireland,Dehradun,2 Mar 2019,ODI # 4101
2,1,-,3,0,0,33.33,5,caught,1,,v Ireland,Dehradun,8 Mar 2019,ODI # 4108
3,2,34,22,0,0,9.09,8,caught,1,,v New Zealand,Taunton,8 Jun 2019,ODI # 4154
4,9,43,33,0,0,27.27,7,caught,1,,v South Africa,Cardiff,15 Jun 2019,ODI # 4160
5,3*,18,10,0,0,30.00,9,not out,2,,v England,Manchester,18 Jun 2019,ODI # 4163
6,7*,28,10,0,0,70.00,9,not out,2,,v India,Southampton,22 Jun 2019,ODI # 4169
7,11,20,12,1,0,91.66,7,run out,2,,v Bangladesh,Southampton,24 Jun 2019,ODI # 4172
8,24,90,66,1,0,36.36,4,caught,1,,v Pakistan,Leeds,29 Jun 2019,ODI # 4177
9,86,142,93,8,0,92.47,3,lbw,2,,v West Indies,Leeds,4 Jul 2019,ODI # 4184
10,58,-,62,6,1,93.54,4,run out,1,,v West Indies,Lucknow,6 Nov 2019,ODI # 4213
11,19,-,36,2,0,52.77,4,caught,2,,v West Indies,Lucknow,9 Nov 2019,ODI # 4214
12,9,-,29,0,0,31.03,4,bowled,1,,v West Indies,Lucknow,11 Nov 2019,ODI # 4215
13,4,22,9,1,0,44.44,5,caught,2,,v Pakistan,Hambantota,22 Aug 2023,ODI # 4625
14,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
