,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,23,-,32,4,0,71.87,5,caught,2,,v Ireland,Dublin,5 Jul 2012,ODI # 3282
2,0,5,1,0,0,0.00,8,caught,2,,v Australia,Sharjah,25 Aug 2012,ODI # 3297
3,1,10,6,0,0,16.66,6,bowled,2,,v Pakistan,Fatullah,27 Feb 2014,ODI # 3475
4,21,43,36,2,0,58.33,3,bowled,1,,v Bangladesh,Fatullah,1 Mar 2014,ODI # 3478
5,11,43,35,1,0,31.42,7,caught,2,,v Sri Lanka,Mirpur,3 Mar 2014,ODI # 3481
6,5,20,14,0,0,35.71,5,caught,1,,v India,Mirpur,5 Mar 2014,ODI # 3483
7,DNB,-,-,-,-,-,-,-,2,,v Scotland,ICCA Dubai,8 Jan 2015,ODI # 3572
8,45,-,63,3,3,71.42,7,caught,1,,v Ireland,Dubai (DSC),10 Jan 2015,ODI # 3573
9,1,-,7,0,0,14.28,5,lbw,2,,v Scotland,Abu Dhabi,14 Jan 2015,ODI # 3576
10,83,-,50,7,6,166.00,6,caught,1,,v Ireland,Dubai (DSC),17 Jan 2015,ODI # 3581
11,17,49,34,1,0,50.00,7,lbw,2,,v Bangladesh,Canberra,18 Feb 2015,ODI # 3605
12,10,28,15,0,1,66.66,6,caught,1,,v Sri Lanka,Dunedin,22 Feb 2015,ODI # 3609
13,4,9,5,1,0,80.00,7,caught,2,,v Scotland,Dunedin,26 Feb 2015,ODI # 3614
14,24,42,31,1,1,77.41,7,bowled,2,,v Australia,Perth,4 Mar 2015,ODI # 3623
15,56,86,56,8,2,100.00,8,caught,1,,v New Zealand,Napier,8 Mar 2015,ODI # 3628
16,12*,20,15,2,0,80.00,8,not out,1,,v England,Sydney,13 Mar 2015,ODI # 3635
17,25,41,31,3,1,80.64,7,bowled,1,,v Zimbabwe,Bulawayo,16 Oct 2015,ODI # 3693
18,1,4,3,0,0,33.33,6,caught,1,,v Zimbabwe,Bulawayo,18 Oct 2015,ODI # 3694
19,5,9,9,1,0,55.55,6,stumped,1,,v Zimbabwe,Bulawayo,24 Oct 2015,ODI # 3699
