,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,127,154,127,8,9,100.00,1,caught,1,,v Ireland,Abu Dhabi,21 Jan 2021,ODI # 4271
2,31,34,26,3,2,119.23,1,lbw,2,,v Ireland,Abu Dhabi,24 Jan 2021,ODI # 4273
3,22,12,10,4,1,220.00,1,bowled,1,,v Ireland,Abu Dhabi,26 Jan 2021,ODI # 4275
4,13,19,8,2,0,162.50,1,bowled,1,,v Netherlands,Doha,21 Jan 2022,ODI # 4345
5,103,-,127,6,3,81.10,1,caught,1,,v Netherlands,Doha,23 Jan 2022,ODI # 4348
6,12,36,27,1,0,44.44,1,caught,1,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
7,7,14,14,1,0,50.00,1,caught,1,,v Bangladesh,Chattogram,23 Feb 2022,ODI # 4357
8,7,19,17,1,0,41.17,7,bowled,2,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
9,106*,185,110,7,4,96.36,1,not out,2,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
10,17,42,31,1,1,54.83,1,caught,1,,v Zimbabwe,Harare,4 Jun 2022,ODI # 4397
11,4,-,9,1,0,44.44,1,lbw,2,,v Zimbabwe,Harare,6 Jun 2022,ODI # 4400
12,7,-,13,0,1,53.84,1,caught,2,,v Zimbabwe,Harare,9 Jun 2022,ODI # 4403
13,53,65,55,9,0,96.36,1,lbw,1,,v Sri Lanka,Pallekele,25 Nov 2022,ODI # 4485
14,68,120,73,4,4,93.15,1,caught,1,,v Sri Lanka,Pallekele,27 Nov 2022,ODI # 4488
15,5,11,12,1,0,41.66,1,bowled,1,,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
16,14,24,23,2,0,60.86,1,bowled,2,,v Sri Lanka,Hambantota,2 Jun 2023,ODI # 4579
17,2,14,12,0,0,16.66,1,caught,2,,v Sri Lanka,Hambantota,4 Jun 2023,ODI # 4580
18,8,10,10,2,0,80.00,1,caught,1,,v Sri Lanka,Hambantota,7 Jun 2023,ODI # 4583
19,22,66,45,1,0,48.88,1,caught,2,,v Bangladesh,Chattogram,5 Jul 2023,ODI # 4615
20,145,177,125,13,8,116.00,1,lbw,1,,v Bangladesh,Chattogram,8 Jul 2023,ODI # 4619
