,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,50,110,75,3,1,66.66,2,caught,1,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
2,1,8,2,0,0,50.00,2,run out,2,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
3,35,74,49,4,1,71.42,2,stumped,2,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
4,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
5,34,91,66,5,0,51.51,2,caught,2,,v Pakistan,Colombo (RPS),26 Aug 2023,ODI # 4627
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,,,
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,50,110,75,3,1,66.66,2,caught,1,,v Netherlands,Doha,25 Jan 2022,ODI # 4350
2,1,8,2,0,0,50.00,2,run out,2,,v Bangladesh,Chattogram,25 Feb 2022,ODI # 4358
3,35,74,49,4,1,71.42,2,stumped,2,,v Bangladesh,Chattogram,28 Feb 2022,ODI # 4359
4,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,ODI # 4626
5,34,91,66,5,0,51.51,2,caught,2,,v Pakistan,Colombo (RPS),26 Aug 2023,ODI # 4627
