,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,3,10,10,0,0,30.00,6,caught,1,,v Ireland,Dublin,25 Aug 2011,ODI # 3185
2,DNB,-,-,-,-,-,-,-,2,,v India,Chester-le-Street,3 Sep 2011,ODI # 3186
3,DNB,-,-,-,-,-,-,-,2,,v India,Southampton,6 Sep 2011,ODI # 3187
4,20,29,31,0,1,64.51,5,bowled,2,,v India,The Oval,9 Sep 2011,ODI # 3189
5,7,9,11,1,0,63.63,6,caught,2,,v India,Lord's,11 Sep 2011,ODI # 3191
6,DNB,-,-,-,-,-,-,-,2,,v Ireland,Dublin (Malahide),3 Sep 2013,ODI # 3409
7,5,11,7,0,0,71.42,8,caught,2,,v Australia,Manchester,8 Sep 2013,ODI # 3412
8,DNB,-,-,-,-,-,-,-,1,,v Australia,Birmingham,11 Sep 2013,ODI # 3414
9,25,43,29,3,0,86.20,8,bowled,2,,v Australia,Cardiff,14 Sep 2013,ODI # 3415
10,27,43,25,2,1,108.00,8,caught,2,,v Australia,Southampton,16 Sep 2013,ODI # 3416
11,21,21,20,2,0,105.00,7,bowled,1,,v Australia,Melbourne,12 Jan 2014,ODI # 3454
12,0,1,1,0,0,0.00,8,caught,1,,v Australia,Brisbane,17 Jan 2014,ODI # 3455
13,15,47,39,0,0,38.46,3,caught,1,,v Australia,Sydney,19 Jan 2014,ODI # 3457
14,70,93,84,6,1,83.33,3,caught,1,,v Australia,Perth,24 Jan 2014,ODI # 3461
15,0,10,6,0,0,0.00,3,caught,2,,v Australia,Adelaide,26 Jan 2014,ODI # 3463
16,5,10,7,0,0,71.42,5,bowled,2,,v West Indies,North Sound,28 Feb 2014,ODI # 3477
17,4,20,9,0,0,44.44,5,caught,2,,v West Indies,North Sound,2 Mar 2014,ODI # 3480
18,0,1,1,0,0,0.00,3,caught,1,,v West Indies,North Sound,5 Mar 2014,ODI # 3484
19,23,30,29,3,0,79.31,7,caught,2,,v India,Cardiff,27 Aug 2014,ODI # 3517
20,2,8,7,0,0,28.57,7,caught,1,,v India,Nottingham,30 Aug 2014,ODI # 3520
21,33*,35,23,3,2,143.47,7,not out,1,,v India,Leeds,5 Sep 2014,ODI # 3525
22,16,28,27,0,0,59.25,8,stumped,2,,v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
23,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
24,6,18,6,1,0,100.00,8,caught,1,,v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
25,10,26,15,1,0,66.66,5,bowled,1,,v New Zealand,Birmingham,9 Jun 2015,ODI # 3654
26,28,23,17,2,1,164.70,5,caught,2,,v New Zealand,The Oval,12 Jun 2015,ODI # 3655
27,68,86,47,7,2,144.68,5,bowled,1,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
28,19*,19,12,2,1,158.33,5,not out,2,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
29,17,12,13,3,0,130.76,5,caught,2,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
30,13,24,23,1,0,56.52,5,caught,2,,v Australia,Southampton,3 Sep 2015,ODI # 3680
31,10,18,7,1,0,142.85,5,obstruct field,2,,v Australia,Lord's,5 Sep 2015,ODI # 3681
32,14,22,20,1,0,70.00,5,caught,1,,v Australia,Manchester,8 Sep 2015,ODI # 3682
33,41,63,54,5,0,75.92,5,bowled,2,,v Australia,Leeds,11 Sep 2015,ODI # 3683
34,42,71,51,6,1,82.35,5,lbw,1,,v Australia,Manchester,13 Sep 2015,ODI # 3684
35,57,55,38,4,3,150.00,6,bowled,1,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
36,0,11,6,0,0,0.00,5,bowled,2,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
37,53,58,37,5,2,143.24,6,caught,1,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
38,2,-,2,0,0,100.00,5,caught,1,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
39,29,43,32,1,1,90.62,5,bowled,1,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
40,15*,33,20,1,0,75.00,5,not out,2,,v Pakistan,Southampton,24 Aug 2016,ODI # 3770
41,42,33,30,6,1,140.00,5,bowled,2,,v Pakistan,Lord's,27 Aug 2016,ODI # 3771
42,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
