,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,16,1,4.00,4,2,,v Ireland,Belfast,27 Aug 2009,ODI # 2878
2,10.0,0,37,0,3.70,5,1,,v Australia,The Oval,4 Sep 2009,ODI # 2882
3,10.0,0,56,1,5.60,4,2,,v Australia,Lord's,12 Sep 2009,ODI # 2888
4,7.0,0,55,1,7.85,5,2,,v Australia,Nottingham,15 Sep 2009,ODI # 2890
5,3.0,0,27,0,9.00,5,1,,v South Africa,Centurion,22 Nov 2009,ODI # 2929
6,DNB,-,-,-,-,-,1,,v Ireland,Dublin (Malahide),8 May 2015,ODI # 3650
7,10.0,0,55,4,5.50,4,2,,v New Zealand,Birmingham,9 Jun 2015,ODI # 3654
8,10.0,0,72,0,7.20,4,1,,v New Zealand,The Oval,12 Jun 2015,ODI # 3655
9,10.0,0,72,1,7.20,4,2,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
10,8.0,0,75,1,9.37,5,1,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
11,10.0,0,45,2,4.50,5,1,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
12,10.0,0,59,4,5.90,4,1,,v Australia,Southampton,3 Sep 2015,ODI # 3680
13,7.0,0,44,1,6.28,5,1,,v Australia,Lord's,5 Sep 2015,ODI # 3681
14,10.0,1,41,2,4.10,4,2,,v Australia,Manchester,8 Sep 2015,ODI # 3682
15,10.0,0,63,0,6.30,5,1,,v Australia,Leeds,11 Sep 2015,ODI # 3683
16,4.0,0,34,0,8.50,4,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
17,9.0,0,60,0,6.66,4,2,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
18,10.0,0,32,1,3.20,4,2,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
19,10.0,1,51,0,5.10,4,1,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
20,10.0,0,78,3,7.80,5,2,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
21,6.0,0,42,0,7.00,4,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
22,10.0,0,43,1,4.30,4,1,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
23,10.0,0,45,1,4.50,6,2,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
24,5.2,0,38,2,7.12,6,2,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
25,10.0,0,59,1,5.90,5,2,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
26,10.0,0,36,0,3.60,3,1,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
