,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,2,,v Ireland,Dublin,25 Aug 2011,ODI # 3185
2,DNB,-,-,-,-,-,1,,v India,Chester-le-Street,3 Sep 2011,ODI # 3186
3,DNB,-,-,-,-,-,1,,v India,Southampton,6 Sep 2011,ODI # 3187
4,DNB,-,-,-,-,-,1,,v India,The Oval,9 Sep 2011,ODI # 3189
5,DNB,-,-,-,-,-,1,,v India,Lord's,11 Sep 2011,ODI # 3191
6,10.0,0,51,0,5.10,4,1,,v Ireland,Dublin (Malahide),3 Sep 2013,ODI # 3409
7,10.0,0,66,0,6.60,3,1,,v Australia,Manchester,8 Sep 2013,ODI # 3412
8,TDNB,-,-,-,-,-,-,,v Australia,Birmingham,11 Sep 2013,ODI # 3414
9,9.0,1,42,1,4.66,3,1,,v Australia,Cardiff,14 Sep 2013,ODI # 3415
10,10.0,0,61,5,6.10,3,1,,v Australia,Southampton,16 Sep 2013,ODI # 3416
11,10.0,0,64,1,6.40,4,2,,v Australia,Melbourne,12 Jan 2014,ODI # 3454
12,10.0,0,74,1,7.40,4,2,,v Australia,Brisbane,17 Jan 2014,ODI # 3455
13,3.0,0,23,1,7.66,6,2,,v Australia,Sydney,19 Jan 2014,ODI # 3457
14,9.0,1,38,4,4.22,6,2,,v Australia,Perth,24 Jan 2014,ODI # 3461
15,10.0,0,43,3,4.30,5,1,,v Australia,Adelaide,26 Jan 2014,ODI # 3463
16,DNB,-,-,-,-,-,1,,v West Indies,North Sound,28 Feb 2014,ODI # 3477
17,2.0,0,13,0,6.50,8,1,,v West Indies,North Sound,2 Mar 2014,ODI # 3480
18,4.0,0,21,0,5.25,7,2,,v West Indies,North Sound,5 Mar 2014,ODI # 3484
19,7.0,0,54,0,7.71,4,1,,v India,Cardiff,27 Aug 2014,ODI # 3517
20,6.0,0,31,1,5.16,5,2,,v India,Nottingham,30 Aug 2014,ODI # 3520
21,7.0,0,47,3,6.71,6,2,,v India,Leeds,5 Sep 2014,ODI # 3525
22,4.0,0,36,0,9.00,4,1,,v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
23,2.0,0,28,0,14.00,6,1,,v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
24,2.0,0,21,0,10.50,7,2,,v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
