,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,31,1,4.42,3,2,,v Australia,Sydney,23 Jan 2011,ODI # 3086
2,10.0,0,45,6,4.50,4,1,,v Australia,Brisbane,30 Jan 2011,ODI # 3091
3,9.2,0,73,0,7.82,1,2,,v Australia,Sydney,2 Feb 2011,ODI # 3094
4,6.0,1,20,0,3.33,1,2,,v Ireland,Dublin,25 Aug 2011,ODI # 3185
5,TDNB,-,-,-,-,-,-,,v South Africa,Cardiff,24 Aug 2012,ODI # 3296
6,6.0,0,35,0,5.83,3,2,,v South Africa,Nottingham,5 Sep 2012,ODI # 3304
7,9.0,0,60,1,6.66,3,1,,v India,Kochi,15 Jan 2013,ODI # 3320
8,9.0,1,45,1,5.00,3,1,,v India,Dharamsala,27 Jan 2013,ODI # 3329
9,10.0,0,52,2,5.20,4,2,,v New Zealand,Hamilton,17 Feb 2013,ODI # 3335
10,10.0,0,68,3,6.80,3,1,,v New Zealand,Napier,20 Feb 2013,ODI # 3336
11,9.0,0,34,1,3.77,3,1,,v New Zealand,Auckland,23 Feb 2013,ODI # 3338
12,6.0,0,45,0,7.50,3,2,,v New Zealand,Lord's,31 May 2013,ODI # 3360
13,7.0,0,49,0,7.00,3,1,,v New Zealand,Southampton,2 Jun 2013,ODI # 3361
14,10.0,1,52,4,5.20,2,1,,v India,Cardiff,27 Aug 2014,ODI # 3517
15,8.0,1,43,1,5.37,2,2,,v India,Nottingham,30 Aug 2014,ODI # 3520
16,4.0,0,40,0,10.00,4,2,,v India,Birmingham,2 Sep 2014,ODI # 3523
17,10.0,1,61,0,6.10,2,2,,v India,Leeds,5 Sep 2014,ODI # 3525
18,10.0,0,68,2,6.80,1,1,,v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
19,5.0,0,23,0,4.60,2,2,,v Sri Lanka,Colombo (RPS),29 Nov 2014,ODI # 3557
20,7.0,0,41,3,5.85,2,1,,v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
21,9.0,0,53,1,5.88,2,2,,v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
22,8.0,0,47,6,5.87,2,1,,v Sri Lanka,Pallekele,10 Dec 2014,ODI # 3565
23,10.0,1,51,2,5.10,2,1,,v Sri Lanka,Pallekele,13 Dec 2014,ODI # 3567
