,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,1,17,1,4.25,3,1,,v Ireland,Dublin (Malahide),8 May 2015,ODI # 3650
2,10.0,1,69,3,6.90,2,2,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
3,10.0,0,89,2,8.90,1,1,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
4,10.0,0,50,2,5.00,2,1,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
5,8.0,0,51,3,6.37,1,1,,v Australia,Leeds,11 Sep 2015,ODI # 3683
6,6.0,3,13,1,2.16,1,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
7,7.0,0,43,0,6.14,1,2,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
8,8.0,0,25,3,3.12,1,2,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
9,10.0,0,45,1,4.50,1,1,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
10,6.0,0,34,2,5.66,1,2,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
11,5.0,0,30,1,6.00,1,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
12,7.0,2,33,0,4.71,2,1,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
13,5.0,0,40,0,8.00,1,2,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
14,10.0,0,56,2,5.60,2,1,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
15,10.0,0,65,1,6.50,1,1,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
16,10.0,0,55,1,5.50,1,1,,v Sri Lanka,Bristol,26 Jun 2016,ODI # 3755
17,8.0,0,58,2,7.25,1,1,,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
18,8.4,0,34,4,3.92,2,2,,v Sri Lanka,Cardiff,2 Jul 2016,ODI # 3758
19,8.0,2,40,0,5.00,1,1,,v Pakistan,Leeds,1 Sep 2016,ODI # 3775
20,8.0,2,32,0,4.00,2,2,,v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
21,7.0,1,46,0,6.57,2,2,,v Bangladesh,Mirpur,7 Oct 2016,ODI # 3791
22,8.0,1,36,0,4.50,2,1,,v Bangladesh,Mirpur,9 Oct 2016,ODI # 3793
23,6.0,0,47,2,7.83,2,2,,v India,Pune,15 Jan 2017,ODI # 3819
24,5.0,0,32,0,6.40,2,1,,v India,Cuttack,19 Jan 2017,ODI # 3821
25,2.0,0,8,1,4.00,2,2,,v India,Eden Gardens,22 Jan 2017,ODI # 3824
26,6.0,0,34,1,5.66,1,1,,v Ireland,Bristol,5 May 2017,ODI # 3864
27,3.0,0,23,0,7.66,2,2,,v Ireland,Lord's,7 May 2017,ODI # 3865
28,4.5,0,43,0,8.89,1,2,,v South Africa,Lord's,29 May 2017,ODI # 3874
29,6.0,0,39,1,6.50,2,1,,v West Indies,Manchester,19 Sep 2017,ODI # 3911
30,TDNB,-,-,-,-,-,-,,v West Indies,Nottingham,21 Sep 2017,ODI # 3913
31,4.0,0,34,1,8.50,2,2,,v West Indies,Bristol,24 Sep 2017,ODI # 3915
32,9.0,1,37,0,4.11,1,2,,v Australia,Perth,28 Jan 2018,ODI # 3968
33,6.0,1,26,1,4.33,1,2,,v New Zealand,Hamilton,25 Feb 2018,ODI # 3980
34,5.0,0,16,0,3.20,1,1,,v New Zealand,Mount Maunganui,28 Feb 2018,ODI # 3981
35,10.0,0,72,0,7.20,2,1,,v Scotland,Edinburgh,10 Jun 2018,ODI # 4008
36,8.0,0,41,1,5.12,2,1,,v Australia,The Oval,13 Jun 2018,ODI # 4009
37,7.0,0,40,0,5.71,1,2,,v Australia,Cardiff,16 Jun 2018,ODI # 4010
38,7.0,0,56,2,8.00,2,2,,v Australia,Nottingham,19 Jun 2018,ODI # 4011
39,7.0,0,43,4,6.14,2,1,,v Australia,Chester-le-Street,21 Jun 2018,ODI # 4012
40,5.0,0,25,0,5.00,2,2,,v India,Nottingham,12 Jul 2018,ODI # 4014
41,10.0,0,48,2,4.80,2,2,,v India,Lord's,14 Jul 2018,ODI # 4016
42,9.0,0,40,3,4.44,2,1,,v India,Leeds,17 Jul 2018,ODI # 4018
43,6.0,1,26,0,4.33,1,1,,v Ireland,Dublin (Malahide),3 May 2019,ODI # 4127
44,10.0,0,57,2,5.70,2,2,,v Pakistan,Southampton,11 May 2019,ODI # 4133
45,10.0,0,86,1,8.60,2,1,,v Pakistan,Bristol,14 May 2019,ODI # 4135
46,9.0,1,55,1,6.11,2,2,,v Pakistan,Leeds,19 May 2019,ODI # 4140
47,8.4,2,30,5,3.46,1,1,,v Ireland,Southampton,30 Jul 2020,ODI # 4256
48,10.0,1,48,2,4.80,1,1,,v Ireland,Southampton,1 Aug 2020,ODI # 4257
49,10.0,1,70,1,7.00,1,2,,v Ireland,Southampton,4 Aug 2020,ODI # 4258
50,10.0,1,44,3,4.40,2,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
51,10.0,1,64,4,6.40,1,1,,v Sri Lanka,The Oval,1 Jul 2021,ODI # 4297
52,7.0,0,36,2,5.14,2,1,,v Sri Lanka,Bristol,4 Jul 2021,ODI # 4298
53,10.0,0,42,2,4.20,1,2,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
54,8.0,0,46,2,5.75,1,1,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
55,8.2,0,36,4,4.32,1,1,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
56,3.0,0,8,0,2.66,1,2,,v India,The Oval,12 Jul 2022,ODI # 4424
57,9.0,2,27,1,3.00,2,2,,v India,Lord's,14 Jul 2022,ODI # 4428
58,7.0,0,58,0,8.28,2,2,,v India,Manchester,17 Jul 2022,ODI # 4433
59,4.0,1,9,1,2.25,2,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
60,4.0,1,19,1,4.75,2,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
61,8.0,0,51,2,6.37,1,2,,v Australia,Adelaide,17 Nov 2022,ODI # 4475
62,9.0,0,44,2,4.88,2,1,,v Australia,Sydney,19 Nov 2022,ODI # 4477
63,9.0,0,63,0,7.00,2,1,,v Australia,Melbourne,22 Nov 2022,ODI # 4480
64,6.0,0,38,0,6.33,1,1,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
65,6.0,0,32,1,5.33,3,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
66,5.5,0,34,3,5.82,1,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
67,6.0,1,28,1,4.66,1,2,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,1,69,3,6.90,2,2,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
2,10.0,0,89,2,8.90,1,1,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
3,10.0,0,50,2,5.00,2,1,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
4,8.0,0,51,3,6.37,1,1,,v Australia,Leeds,11 Sep 2015,ODI # 3683
5,6.0,3,13,1,2.16,1,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
6,10.0,0,56,2,5.60,2,1,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
7,10.0,0,65,1,6.50,1,1,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
8,10.0,0,55,1,5.50,1,1,,v Sri Lanka,Bristol,26 Jun 2016,ODI # 3755
9,8.0,0,58,2,7.25,1,1,,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
10,8.4,0,34,4,3.92,2,2,,v Sri Lanka,Cardiff,2 Jul 2016,ODI # 3758
11,8.0,2,40,0,5.00,1,1,,v Pakistan,Leeds,1 Sep 2016,ODI # 3775
12,8.0,2,32,0,4.00,2,2,,v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
13,6.0,0,34,1,5.66,1,1,,v Ireland,Bristol,5 May 2017,ODI # 3864
14,3.0,0,23,0,7.66,2,2,,v Ireland,Lord's,7 May 2017,ODI # 3865
15,4.5,0,43,0,8.89,1,2,,v South Africa,Lord's,29 May 2017,ODI # 3874
16,6.0,0,39,1,6.50,2,1,,v West Indies,Manchester,19 Sep 2017,ODI # 3911
17,TDNB,-,-,-,-,-,-,,v West Indies,Nottingham,21 Sep 2017,ODI # 3913
18,4.0,0,34,1,8.50,2,2,,v West Indies,Bristol,24 Sep 2017,ODI # 3915
19,8.0,0,41,1,5.12,2,1,,v Australia,The Oval,13 Jun 2018,ODI # 4009
20,7.0,0,40,0,5.71,1,2,,v Australia,Cardiff,16 Jun 2018,ODI # 4010
21,7.0,0,56,2,8.00,2,2,,v Australia,Nottingham,19 Jun 2018,ODI # 4011
22,7.0,0,43,4,6.14,2,1,,v Australia,Chester-le-Street,21 Jun 2018,ODI # 4012
23,5.0,0,25,0,5.00,2,2,,v India,Nottingham,12 Jul 2018,ODI # 4014
24,10.0,0,48,2,4.80,2,2,,v India,Lord's,14 Jul 2018,ODI # 4016
25,9.0,0,40,3,4.44,2,1,,v India,Leeds,17 Jul 2018,ODI # 4018
26,10.0,0,57,2,5.70,2,2,,v Pakistan,Southampton,11 May 2019,ODI # 4133
27,10.0,0,86,1,8.60,2,1,,v Pakistan,Bristol,14 May 2019,ODI # 4135
28,9.0,1,55,1,6.11,2,2,,v Pakistan,Leeds,19 May 2019,ODI # 4140
29,8.4,2,30,5,3.46,1,1,,v Ireland,Southampton,30 Jul 2020,ODI # 4256
30,10.0,1,48,2,4.80,1,1,,v Ireland,Southampton,1 Aug 2020,ODI # 4257
31,10.0,1,70,1,7.00,1,2,,v Ireland,Southampton,4 Aug 2020,ODI # 4258
32,10.0,1,44,3,4.40,2,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
33,10.0,1,64,4,6.40,1,1,,v Sri Lanka,The Oval,1 Jul 2021,ODI # 4297
34,7.0,0,36,2,5.14,2,1,,v Sri Lanka,Bristol,4 Jul 2021,ODI # 4298
35,3.0,0,8,0,2.66,1,2,,v India,The Oval,12 Jul 2022,ODI # 4424
36,9.0,2,27,1,3.00,2,2,,v India,Lord's,14 Jul 2022,ODI # 4428
37,7.0,0,58,0,8.28,2,2,,v India,Manchester,17 Jul 2022,ODI # 4433
38,4.0,1,9,1,2.25,2,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
39,4.0,1,19,1,4.75,2,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
40,6.0,0,32,1,5.33,3,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
41,5.5,0,34,3,5.82,1,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
42,6.0,1,28,1,4.66,1,2,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,1,17,1,4.25,3,1,,v Ireland,Dublin (Malahide),8 May 2015,ODI # 3650
2,7.0,0,43,0,6.14,1,2,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
3,8.0,0,25,3,3.12,1,2,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
4,10.0,0,45,1,4.50,1,1,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
5,6.0,0,34,2,5.66,1,2,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
6,5.0,0,30,1,6.00,1,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
7,7.0,2,33,0,4.71,2,1,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
8,5.0,0,40,0,8.00,1,2,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
9,7.0,1,46,0,6.57,2,2,,v Bangladesh,Mirpur,7 Oct 2016,ODI # 3791
10,8.0,1,36,0,4.50,2,1,,v Bangladesh,Mirpur,9 Oct 2016,ODI # 3793
11,6.0,0,47,2,7.83,2,2,,v India,Pune,15 Jan 2017,ODI # 3819
12,5.0,0,32,0,6.40,2,1,,v India,Cuttack,19 Jan 2017,ODI # 3821
13,2.0,0,8,1,4.00,2,2,,v India,Eden Gardens,22 Jan 2017,ODI # 3824
14,9.0,1,37,0,4.11,1,2,,v Australia,Perth,28 Jan 2018,ODI # 3968
15,6.0,1,26,1,4.33,1,2,,v New Zealand,Hamilton,25 Feb 2018,ODI # 3980
16,5.0,0,16,0,3.20,1,1,,v New Zealand,Mount Maunganui,28 Feb 2018,ODI # 3981
17,10.0,0,72,0,7.20,2,1,,v Scotland,Edinburgh,10 Jun 2018,ODI # 4008
18,6.0,1,26,0,4.33,1,1,,v Ireland,Dublin (Malahide),3 May 2019,ODI # 4127
19,10.0,0,42,2,4.20,1,2,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
20,8.0,0,46,2,5.75,1,1,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
21,8.2,0,36,4,4.32,1,1,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
22,8.0,0,51,2,6.37,1,2,,v Australia,Adelaide,17 Nov 2022,ODI # 4475
23,9.0,0,44,2,4.88,2,1,,v Australia,Sydney,19 Nov 2022,ODI # 4477
24,9.0,0,63,0,7.00,2,1,,v Australia,Melbourne,22 Nov 2022,ODI # 4480
25,6.0,0,38,0,6.33,1,1,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
