,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,47,0,6.71,6,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
2,5.0,0,23,1,4.60,3,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
3,5.0,0,24,0,4.80,3,2,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,47,0,6.71,6,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
2,5.0,0,23,1,4.60,3,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
3,5.0,0,24,0,4.80,3,2,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,
1,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,
2,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,
3,"Australia v South Africa at Lucknow, ICC Cricket World Cup 10th match, Oct 12, 2023
[ ODI # 4667 ]",,,,,,,,,,,
