,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,1,,v India,Pune,26 Mar 2021,ODI # 4283
2,3.0,0,20,1,6.66,7,1,,v India,Pune,28 Mar 2021,ODI # 4284
3,DNB,-,-,-,-,-,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
4,DNB,-,-,-,-,-,2,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
5,5.0,0,28,1,5.60,6,1,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
6,8.0,0,40,1,5.00,5,1,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
7,DNB,-,-,-,-,-,2,,v India,The Oval,12 Jul 2022,ODI # 4424
8,2.0,1,4,1,2.00,6,2,,v India,Lord's,14 Jul 2022,ODI # 4428
9,2.0,0,14,0,7.00,7,2,,v India,Manchester,17 Jul 2022,ODI # 4433
10,4.0,0,30,2,7.50,7,1,,v South Africa,Chester-le-Street,19 Jul 2022,ODI # 4434
11,DNB,-,-,-,-,-,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
12,1.0,0,9,0,9.00,6,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
13,7.4,0,47,0,6.13,7,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
14,DNB,-,-,-,-,-,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
15,5.0,0,16,3,3.20,6,2,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
16,7.0,0,34,1,4.85,6,2,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
17,3.0,0,24,0,8.00,6,2,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
18,3.0,0,13,1,4.33,6,2,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
2,DNB,-,-,-,-,-,2,,v India,The Oval,12 Jul 2022,ODI # 4424
3,2.0,1,4,1,2.00,6,2,,v India,Lord's,14 Jul 2022,ODI # 4428
4,2.0,0,14,0,7.00,7,2,,v India,Manchester,17 Jul 2022,ODI # 4433
5,4.0,0,30,2,7.50,7,1,,v South Africa,Chester-le-Street,19 Jul 2022,ODI # 4434
6,DNB,-,-,-,-,-,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
7,1.0,0,9,0,9.00,6,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
8,7.4,0,47,0,6.13,7,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
9,DNB,-,-,-,-,-,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
10,5.0,0,16,3,3.20,6,2,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
11,7.0,0,34,1,4.85,6,2,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,1,,v India,Pune,26 Mar 2021,ODI # 4283
2,3.0,0,20,1,6.66,7,1,,v India,Pune,28 Mar 2021,ODI # 4284
3,DNB,-,-,-,-,-,2,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
4,5.0,0,28,1,5.60,6,1,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
5,8.0,0,40,1,5.00,5,1,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
6,3.0,0,24,0,8.00,6,2,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
7,3.0,0,13,1,4.33,6,2,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
