,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,1,25,1,4.16,5,1,,v West Indies,North Sound,28 Feb 2014,ODI # 3477
2,3.0,0,11,1,3.66,3,1,,v West Indies,North Sound,2 Mar 2014,ODI # 3480
3,1.0,0,5,1,5.00,3,2,,v West Indies,North Sound,5 Mar 2014,ODI # 3484
4,7.0,0,40,0,5.71,5,2,,v India,Birmingham,2 Sep 2014,ODI # 3523
5,8.0,0,34,2,4.25,3,2,,v India,Leeds,5 Sep 2014,ODI # 3525
6,10.0,0,66,1,6.60,5,1,,v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
7,7.0,0,38,1,5.42,3,2,,v Sri Lanka,Colombo (RPS),29 Nov 2014,ODI # 3557
8,7.0,0,36,0,5.14,3,1,,v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
9,10.0,0,44,1,4.40,3,2,,v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
10,10.0,0,50,0,5.00,3,1,,v Sri Lanka,Pallekele,10 Dec 2014,ODI # 3565
11,8.0,0,46,0,5.75,3,1,,v Sri Lanka,Pallekele,13 Dec 2014,ODI # 3567
12,10.0,0,39,2,3.90,6,1,,v Sri Lanka,Colombo (RPS),16 Dec 2014,ODI # 3569
13,9.0,0,45,1,5.00,5,2,,v Australia,Sydney,16 Jan 2015,ODI # 3578
14,9.0,0,31,1,3.44,5,1,,v India,Brisbane,20 Jan 2015,ODI # 3586
15,10.0,0,50,2,5.00,4,2,,v Australia,Hobart,23 Jan 2015,ODI # 3589
16,10.0,0,35,2,3.50,5,1,,v India,Perth,30 Jan 2015,ODI # 3595
17,10.0,0,39,1,3.90,5,1,,v Australia,Perth,1 Feb 2015,ODI # 3597
18,9.0,0,60,0,6.66,5,1,,v Australia,Melbourne,14 Feb 2015,ODI # 3600
19,DNB,-,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,ODI # 3607
20,10.0,0,47,2,4.70,5,2,,v Scotland,Christchurch,23 Feb 2015,ODI # 3611
21,10.0,0,50,1,5.00,5,2,,v Sri Lanka,Wellington,1 Mar 2015,ODI # 3619
22,9.0,0,44,1,4.88,5,1,,v Bangladesh,Adelaide,9 Mar 2015,ODI # 3630
23,8.0,0,37,0,4.62,5,1,,v Australia,Southampton,3 Sep 2015,ODI # 3680
24,8.0,1,68,1,8.50,6,1,,v Australia,Lord's,5 Sep 2015,ODI # 3681
25,10.0,1,32,3,3.20,5,2,,v Australia,Manchester,8 Sep 2015,ODI # 3682
26,10.0,0,40,2,4.00,6,1,,v Australia,Leeds,11 Sep 2015,ODI # 3683
27,4.0,0,25,0,6.25,5,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
28,7.0,0,32,1,4.57,5,2,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
29,10.0,0,50,1,5.00,5,2,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
30,10.0,0,30,1,3.00,5,1,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
31,9.4,0,53,3,5.48,4,2,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
32,6.0,0,43,3,7.16,5,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
33,10.0,1,41,0,4.10,5,1,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
34,10.0,0,75,1,7.50,5,2,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
35,9.0,0,39,0,4.33,5,2,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
36,8.0,1,37,1,4.62,6,2,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
37,10.0,0,69,1,6.90,5,1,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
38,9.0,0,41,0,4.55,4,1,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
39,8.0,0,58,0,7.25,5,1,,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
40,7.0,0,30,0,4.28,5,1,,v Pakistan,Southampton,24 Aug 2016,ODI # 3770
41,10.0,0,54,0,5.40,5,1,,v Pakistan,Lord's,27 Aug 2016,ODI # 3771
42,7.0,0,36,1,5.14,5,2,,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
43,10.0,0,39,2,3.90,6,1,,v Pakistan,Leeds,1 Sep 2016,ODI # 3775
44,10.0,0,62,0,6.20,6,2,,v Bangladesh,Mirpur,7 Oct 2016,ODI # 3791
45,9.0,0,39,0,4.33,6,1,,v Bangladesh,Mirpur,9 Oct 2016,ODI # 3793
46,10.0,0,42,1,4.20,4,1,,v Bangladesh,Chattogram,12 Oct 2016,ODI # 3794
47,6.1,0,48,0,7.78,6,2,,v India,Pune,15 Jan 2017,ODI # 3819
48,6.0,0,33,0,5.50,6,1,,v India,Cuttack,19 Jan 2017,ODI # 3821
49,8.0,0,41,0,5.12,6,2,,v India,Eden Gardens,22 Jan 2017,ODI # 3824
50,7.0,0,37,0,5.28,5,2,,v West Indies,North Sound,3 Mar 2017,ODI # 3845
51,10.0,0,44,1,4.40,6,1,,v West Indies,North Sound,5 Mar 2017,ODI # 3848
52,5.0,0,27,0,5.40,5,2,,v West Indies,Bridgetown,9 Mar 2017,ODI # 3849
53,9.0,0,50,2,5.55,6,2,,v South Africa,Leeds,24 May 2017,ODI # 3872
54,8.0,0,59,1,7.37,6,2,,v South Africa,Southampton,27 May 2017,ODI # 3873
55,8.0,1,40,0,5.00,6,1,,v Bangladesh,The Oval,1 Jun 2017,ODI # 3875
56,DNB,-,-,-,-,-,2,,v New Zealand,Cardiff,6 Jun 2017,ODI # 3880
57,5.0,0,24,0,4.80,6,1,,v Australia,Birmingham,10 Jun 2017,ODI # 3885
58,2.0,0,15,0,7.50,6,2,,v Pakistan,Cardiff,14 Jun 2017,ODI # 3889
59,2.0,0,5,1,2.50,3,1,,v West Indies,Manchester,19 Sep 2017,ODI # 3911
60,TDNB,-,-,-,-,-,-,,v West Indies,Nottingham,21 Sep 2017,ODI # 3913
61,10.0,0,65,0,6.50,4,2,,v West Indies,Bristol,24 Sep 2017,ODI # 3915
62,9.0,1,70,0,7.77,4,1,,v West Indies,The Oval,27 Sep 2017,ODI # 3916
63,10.0,0,36,1,3.60,5,1,,v West Indies,Southampton,29 Sep 2017,ODI # 3918
64,10.0,0,39,1,3.90,5,1,,v Australia,Melbourne,14 Jan 2018,ODI # 3951
65,7.0,0,31,1,4.42,4,1,,v Australia,Brisbane,19 Jan 2018,ODI # 3958
66,10.0,0,57,0,5.70,4,2,,v Australia,Sydney,21 Jan 2018,ODI # 3960
67,8.0,0,41,0,5.12,4,2,,v Australia,Adelaide,26 Jan 2018,ODI # 3966
