,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,5.2,1,33,0,6.18,2,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
2,9.0,1,26,3,2.88,2,2,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
3,9.5,1,33,1,3.35,2,2,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
4,10.0,0,41,1,4.10,2,1,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
5,7.0,0,58,1,8.28,2,2,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
6,6.0,0,43,1,7.16,2,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
7,9.0,1,50,4,5.55,1,1,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
8,6.0,0,46,0,7.66,2,2,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
9,8.0,1,39,2,4.87,2,2,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
10,7.0,1,41,3,5.85,2,2,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
11,9.0,1,31,1,3.44,2,1,,v Ireland,Southampton,1 Aug 2020,ODI # 4257
12,8.0,0,50,2,6.25,2,1,,v India,Pune,26 Mar 2021,ODI # 4283
13,9.2,0,66,1,7.07,2,1,,v India,Pune,28 Mar 2021,ODI # 4284
14,10.0,0,46,2,4.60,2,2,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
15,8.0,1,35,0,4.37,2,1,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
16,5.0,3,22,0,4.40,2,2,,v India,The Oval,12 Jul 2022,ODI # 4424
17,9.5,2,24,6,2.44,1,2,,v India,Lord's,14 Jul 2022,ODI # 4428
18,7.0,1,35,3,5.00,1,2,,v India,Manchester,17 Jul 2022,ODI # 4433
19,4.0,0,17,2,4.25,1,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
20,5.0,0,34,0,6.80,1,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
21,9.0,0,74,0,8.22,2,2,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
22,7.0,0,48,0,6.85,2,2,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
23,6.0,0,47,0,7.83,2,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
24,7.0,0,27,3,3.85,2,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
25,9.0,0,31,2,3.44,2,2,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
26,5.0,1,22,0,4.40,2,2,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
27,10.0,1,43,4,4.30,2,2,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,5.2,1,33,0,6.18,2,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
2,9.0,1,31,1,3.44,2,1,,v Ireland,Southampton,1 Aug 2020,ODI # 4257
3,5.0,3,22,0,4.40,2,2,,v India,The Oval,12 Jul 2022,ODI # 4424
4,9.5,2,24,6,2.44,1,2,,v India,Lord's,14 Jul 2022,ODI # 4428
5,7.0,1,35,3,5.00,1,2,,v India,Manchester,17 Jul 2022,ODI # 4433
6,4.0,0,17,2,4.25,1,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
7,5.0,0,34,0,6.80,1,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
8,6.0,0,47,0,7.83,2,2,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
9,7.0,0,27,3,3.85,2,2,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
10,9.0,0,31,2,3.44,2,2,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
11,5.0,1,22,0,4.40,2,2,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,9.0,1,26,3,2.88,2,2,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
2,9.5,1,33,1,3.35,2,2,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
3,10.0,0,41,1,4.10,2,1,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
4,7.0,0,58,1,8.28,2,2,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
5,6.0,0,43,1,7.16,2,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
6,9.0,1,50,4,5.55,1,1,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
