,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,0,44,2,7.33,2,1,,v Australia,Manchester,24 Jun 2018,ODI # 4013
2,6.0,0,46,0,7.66,2,1,,v Sri Lanka,Colombo (RPS),23 Oct 2018,ODI # 4058
3,5.0,0,28,0,5.60,2,2,,v South Africa,Cape Town,4 Feb 2020,ODI # 4234
4,2.0,0,16,0,8.00,2,1,,v South Africa,Durban,7 Feb 2020,ODI # 4238
5,9.0,0,35,3,3.88,5,2,,v Australia,Manchester,13 Sep 2020,ODI # 4260
6,10.0,1,48,0,4.80,2,1,,v India,Pune,23 Mar 2021,ODI # 4281
7,7.0,0,47,1,6.71,1,1,,v India,Pune,26 Mar 2021,ODI # 4283
8,5.0,0,43,1,8.60,1,1,,v India,Pune,28 Mar 2021,ODI # 4284
9,7.3,0,45,0,6.00,4,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
10,10.0,1,48,5,4.80,2,1,,v Sri Lanka,The Oval,1 Jul 2021,ODI # 4297
11,6.1,1,30,0,4.86,3,1,,v Sri Lanka,Bristol,4 Jul 2021,ODI # 4298
12,9.0,0,46,2,5.11,3,2,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
13,6.0,0,35,0,5.83,3,1,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
14,10.0,1,67,1,6.70,1,1,,v South Africa,Chester-le-Street,19 Jul 2022,ODI # 4434
15,2.0,0,5,1,2.50,3,2,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
16,4.0,0,17,0,4.25,4,1,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
17,7.0,0,55,0,7.85,6,1,,v Australia,Sydney,19 Nov 2022,ODI # 4477
18,9.0,1,66,0,7.33,4,1,,v Australia,Melbourne,22 Nov 2022,ODI # 4480
19,9.0,0,35,3,3.88,4,1,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
20,10.0,1,60,1,6.00,5,2,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
21,7.0,0,50,0,7.14,5,2,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
22,6.4,1,29,4,4.35,1,2,,v Bangladesh,Mirpur,3 Mar 2023,ODI # 4528
