,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,24,62,30,3,0,80.00,2,caught,2,,v Ireland,Dublin (Malahide),3 May 2019,ODI # 4127
2,16*,41,23,1,0,69.56,4,not out,2,,v India,Pune,26 Mar 2021,ODI # 4283
3,50,114,50,6,0,100.00,4,caught,2,,v India,Pune,28 Mar 2021,ODI # 4284
4,68*,99,69,8,0,98.55,2,not out,2,,v Pakistan,Cardiff,8 Jul 2021,ODI # 4299
5,0,10,6,0,0,0.00,2,caught,1,,v Pakistan,Lord's,10 Jul 2021,ODI # 4300
6,0,8,2,0,0,0.00,2,caught,2,,v Pakistan,Birmingham,13 Jul 2021,ODI # 4303
7,125,206,109,9,3,114.67,3,caught,1,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
8,36*,83,50,1,1,72.00,3,not out,2,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
9,0,4,2,0,0,0.00,3,bowled,2,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
10,134,189,128,12,4,104.68,3,caught,1,,v Australia,Adelaide,17 Nov 2022,ODI # 4475
11,0,4,3,0,0,0.00,3,bowled,2,,v Australia,Sydney,19 Nov 2022,ODI # 4477
12,2,14,4,0,0,50.00,2,caught,2,,v Australia,Melbourne,22 Nov 2022,ODI # 4480
13,59,88,55,9,0,107.27,2,caught,2,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
14,12,39,15,1,1,80.00,2,lbw,1,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
15,118,189,114,7,6,103.50,2,caught,1,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
16,114*,218,145,8,4,78.62,3,not out,2,,v Bangladesh,Mirpur,1 Mar 2023,ODI # 4525
17,11,46,19,0,0,57.89,3,lbw,1,,v Bangladesh,Mirpur,3 Mar 2023,ODI # 4528
18,0,4,2,0,0,0.00,3,caught,2,,v Bangladesh,Chattogram,6 Mar 2023,ODI # 4531
19,54,64,53,9,0,101.88,2,bowled,1,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
20,96,130,95,12,1,101.05,2,caught,1,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
21,127,177,114,14,3,111.40,2,caught,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
22,14,36,24,2,0,58.33,2,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
23,140,106,107,16,5,130.84,2,bowled,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,68*,99,69,8,0,98.55,2,not out,2,,v Pakistan,Cardiff,8 Jul 2021,ODI # 4299
2,0,10,6,0,0,0.00,2,caught,1,,v Pakistan,Lord's,10 Jul 2021,ODI # 4300
3,0,8,2,0,0,0.00,2,caught,2,,v Pakistan,Birmingham,13 Jul 2021,ODI # 4303
4,54,64,53,9,0,101.88,2,bowled,1,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
5,96,130,95,12,1,101.05,2,caught,1,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
6,127,177,114,14,3,111.40,2,caught,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,24,62,30,3,0,80.00,2,caught,2,,v Ireland,Dublin (Malahide),3 May 2019,ODI # 4127
2,16*,41,23,1,0,69.56,4,not out,2,,v India,Pune,26 Mar 2021,ODI # 4283
3,50,114,50,6,0,100.00,4,caught,2,,v India,Pune,28 Mar 2021,ODI # 4284
4,125,206,109,9,3,114.67,3,caught,1,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
5,36*,83,50,1,1,72.00,3,not out,2,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
6,0,4,2,0,0,0.00,3,bowled,2,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
7,134,189,128,12,4,104.68,3,caught,1,,v Australia,Adelaide,17 Nov 2022,ODI # 4475
8,0,4,3,0,0,0.00,3,bowled,2,,v Australia,Sydney,19 Nov 2022,ODI # 4477
9,2,14,4,0,0,50.00,2,caught,2,,v Australia,Melbourne,22 Nov 2022,ODI # 4480
10,59,88,55,9,0,107.27,2,caught,2,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
11,12,39,15,1,1,80.00,2,lbw,1,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
12,118,189,114,7,6,103.50,2,caught,1,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
13,114*,218,145,8,4,78.62,3,not out,2,,v Bangladesh,Mirpur,1 Mar 2023,ODI # 4525
14,11,46,19,0,0,57.89,3,lbw,1,,v Bangladesh,Mirpur,3 Mar 2023,ODI # 4528
15,0,4,2,0,0,0.00,3,caught,2,,v Bangladesh,Chattogram,6 Mar 2023,ODI # 4531
16,14,36,24,2,0,58.33,2,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
17,140,106,107,16,5,130.84,2,bowled,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
