,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,0,5,3,0,0,0.00,4,lbw,2,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
2,80,101,75,7,4,106.66,4,caught,1,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
3,6,14,9,1,0,66.66,4,caught,1,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
4,25,69,41,2,0,60.97,1,caught,1,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
5,2,36,12,0,0,16.66,2,caught,1,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
6,10,16,15,0,0,66.66,4,caught,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
7,25,20,16,4,1,156.25,4,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
8,20,23,15,3,0,133.33,5,caught,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,25,69,41,2,0,60.97,1,caught,1,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
2,2,36,12,0,0,16.66,2,caught,1,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
3,10,16,15,0,0,66.66,4,caught,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,0,5,3,0,0,0.00,4,lbw,2,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
2,80,101,75,7,4,106.66,4,caught,1,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
3,6,14,9,1,0,66.66,4,caught,1,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
4,25,20,16,4,1,156.25,4,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
5,20,23,15,3,0,133.33,5,caught,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
