,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,-,-,1,,v India,Rajkot,11 Jan 2013,ODI # 3318
2,36,78,50,3,0,72.00,4,bowled,2,,v India,Kochi,15 Jan 2013,ODI # 3320
3,39,92,57,4,0,68.42,4,caught,1,,v India,Ranchi,19 Jan 2013,ODI # 3322
4,57*,61,45,8,1,126.66,6,not out,1,,v India,Mohali,23 Jan 2013,ODI # 3327
5,31,64,49,4,0,63.26,4,bowled,2,,v India,Dharamsala,27 Jan 2013,ODI # 3329
6,56,92,64,4,0,87.50,4,bowled,1,,v New Zealand,Hamilton,17 Feb 2013,ODI # 3335
7,79*,71,56,7,2,141.07,4,not out,2,,v New Zealand,Napier,20 Feb 2013,ODI # 3336
8,28*,80,56,2,0,50.00,4,not out,2,,v New Zealand,Auckland,23 Feb 2013,ODI # 3338
9,30,58,40,1,0,75.00,4,bowled,1,,v New Zealand,Lord's,31 May 2013,ODI # 3360
10,28,45,27,1,0,103.70,4,caught,2,,v New Zealand,Southampton,2 Jun 2013,ODI # 3361
11,33,52,50,1,0,66.00,4,run out,1,,v New Zealand,Nottingham,5 Jun 2013,ODI # 3362
12,12,23,17,1,0,70.58,4,caught,1,,v Australia,Birmingham,8 Jun 2013,ODI # 3365
13,68,74,55,5,0,123.63,4,caught,1,,v Sri Lanka,The Oval,13 Jun 2013,ODI # 3370
14,38,47,40,2,1,95.00,4,caught,1,,v New Zealand,Cardiff,16 Jun 2013,ODI # 3373
15,48,90,71,7,0,67.60,4,bowled,2,,v South Africa,The Oval,19 Jun 2013,ODI # 3375
16,7,8,9,0,0,77.77,4,caught,2,,v India,Birmingham,23 Jun 2013,ODI # 3377
17,3,26,15,0,0,20.00,4,bowled,2,,v Australia,Manchester,8 Sep 2013,ODI # 3412
18,12,36,24,1,0,50.00,4,caught,1,,v Australia,Birmingham,11 Sep 2013,ODI # 3414
19,0,1,1,0,0,0.00,4,caught,2,,v Australia,Cardiff,14 Sep 2013,ODI # 3415
20,21,62,36,0,0,58.33,3,bowled,2,,v Australia,Southampton,16 Sep 2013,ODI # 3416
21,3,25,23,0,0,13.04,3,lbw,1,,v Australia,Melbourne,12 Jan 2014,ODI # 3454
22,2,8,8,0,0,25.00,3,lbw,1,,v Australia,Brisbane,17 Jan 2014,ODI # 3455
23,55,114,86,3,1,63.95,4,caught,2,,v Australia,Adelaide,26 Jan 2014,ODI # 3463
