,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,41*,29,21,1,3,195.23,6,not out,2,,v India,Cardiff,16 Sep 2011,ODI # 3195
2,3,8,7,0,0,42.85,6,caught,2,,v India,Hyderabad,14 Oct 2011,ODI # 3199
3,35,74,49,3,0,71.42,6,caught,1,,v India,Delhi,17 Oct 2011,ODI # 3201
4,DNB,-,-,-,-,-,-,-,1,,v India,Mohali,20 Oct 2011,ODI # 3205
5,9,-,19,1,0,47.36,6,bowled,1,,v India,Wankhede,23 Oct 2011,ODI # 3207
6,2,8,7,0,0,28.57,6,caught,2,,v India,Eden Gardens,25 Oct 2011,ODI # 3210
7,29,62,52,4,0,55.76,4,caught,1,,v South Africa,Nottingham,5 Sep 2012,ODI # 3304
8,TDNB,-,-,-,-,-,-,-,-,,v Ireland,Dublin (Malahide),8 May 2015,ODI # 3650
9,83*,84,60,11,0,138.33,6,not out,2,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
10,17,24,18,1,1,94.44,6,run out,1,,v Australia,Manchester,8 Sep 2015,ODI # 3682
11,31,43,27,3,1,114.81,6,caught,2,,v Australia,Leeds,11 Sep 2015,ODI # 3683
12,10,29,15,1,0,66.66,6,lbw,1,,v Australia,Manchester,13 Sep 2015,ODI # 3684
13,3,13,6,0,0,50.00,5,caught,2,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
14,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
15,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Bristol,26 Jun 2016,ODI # 3755
16,29*,50,27,3,0,107.40,5,not out,2,,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
17,22,26,28,1,0,78.57,5,caught,1,,v Sri Lanka,Cardiff,2 Jul 2016,ODI # 3758
18,61,97,83,4,1,73.49,6,run out,2,,v Pakistan,Leeds,1 Sep 2016,ODI # 3775
19,33,48,36,4,0,91.66,6,caught,1,,v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
20,0,5,3,0,0,0.00,4,run out,1,,v Bangladesh,Mirpur,7 Oct 2016,ODI # 3791
21,35,87,53,1,0,66.03,4,caught,2,,v Bangladesh,Mirpur,9 Oct 2016,ODI # 3793
22,15,30,18,1,0,83.33,4,bowled,2,,v Bangladesh,Chattogram,12 Oct 2016,ODI # 3794
23,56,99,64,5,1,87.50,3,caught,1,,v India,Eden Gardens,22 Jan 2017,ODI # 3824
24,10*,19,15,1,0,66.66,5,not out,2,,v Ireland,Bristol,5 May 2017,ODI # 3864
25,72*,67,44,7,3,163.63,5,not out,1,,v Ireland,Lord's,7 May 2017,ODI # 3865
26,51,112,67,8,0,76.11,5,stumped,1,,v South Africa,Lord's,29 May 2017,ODI # 3874
27,43,65,57,4,0,75.43,1,caught,1,,v Pakistan,Cardiff,14 Jun 2017,ODI # 3889
28,100*,130,97,11,0,103.09,1,not out,2,,v West Indies,Manchester,19 Sep 2017,ODI # 3911
29,9*,12,7,1,0,128.57,1,not out,1,,v West Indies,Nottingham,21 Sep 2017,ODI # 3913
30,13,25,17,1,1,76.47,1,caught,1,,v West Indies,Bristol,24 Sep 2017,ODI # 3915
31,39,-,51,2,0,76.47,2,caught,2,,v West Indies,The Oval,27 Sep 2017,ODI # 3916
32,141*,-,114,17,0,123.68,2,not out,2,,v West Indies,Southampton,29 Sep 2017,ODI # 3918
33,14,22,11,2,0,127.27,2,caught,2,,v Australia,Melbourne,14 Jan 2018,ODI # 3951
34,60,-,56,9,0,107.14,2,caught,2,,v Australia,Brisbane,19 Jan 2018,ODI # 3958
35,39,-,57,2,0,68.42,2,bowled,1,,v Australia,Sydney,21 Jan 2018,ODI # 3960
36,0,-,9,0,0,0.00,2,caught,1,,v Australia,Adelaide,26 Jan 2018,ODI # 3966
37,44,-,48,4,2,91.66,2,bowled,1,,v Australia,Perth,28 Jan 2018,ODI # 3968
38,4,15,13,1,0,30.76,2,caught,1,,v New Zealand,Hamilton,25 Feb 2018,ODI # 3980
39,37,63,39,5,1,94.87,2,caught,2,,v New Zealand,Mount Maunganui,28 Feb 2018,ODI # 3981
40,19,74,39,1,0,48.71,2,bowled,1,,v New Zealand,Wellington,3 Mar 2018,ODI # 3982
41,138,160,106,14,7,130.18,2,caught,1,,v New Zealand,Dunedin,7 Mar 2018,ODI # 3989
42,104,82,60,9,6,173.33,1,hit wicket,2,,v New Zealand,Christchurch,10 Mar 2018,ODI # 3992
43,105,-,59,12,6,177.96,2,caught,2,,v Scotland,Edinburgh,10 Jun 2018,ODI # 4008
44,28,32,23,6,0,121.73,2,caught,2,,v Australia,The Oval,13 Jun 2018,ODI # 4009
45,42,36,24,8,1,175.00,2,caught,1,,v Australia,Cardiff,16 Jun 2018,ODI # 4010
46,139,-,92,15,5,151.08,2,caught,1,,v Australia,Nottingham,19 Jun 2018,ODI # 4011
47,79,-,66,10,0,119.69,2,caught,2,,v Australia,Chester-le-Street,21 Jun 2018,ODI # 4012
