,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,0,3,2,0,0,0.00,5,caught,2,,v Pakistan,Dubai (DSC),21 Feb 2012,ODI # 3247
2,14,12,9,1,1,155.55,7,caught,1,,v India,Mohali,23 Jan 2013,ODI # 3327
3,DNB,-,-,-,-,-,-,-,2,,v India,Dharamsala,27 Jan 2013,ODI # 3329
4,21,18,13,0,2,161.53,6,caught,1,,v New Zealand,Hamilton,17 Feb 2013,ODI # 3335
5,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Napier,20 Feb 2013,ODI # 3336
6,3,5,4,0,0,75.00,6,caught,2,,v New Zealand,Auckland,23 Feb 2013,ODI # 3338
7,14,41,25,1,0,56.00,6,caught,1,,v New Zealand,Lord's,31 May 2013,ODI # 3360
8,2,5,3,0,0,66.66,6,caught,2,,v New Zealand,Southampton,2 Jun 2013,ODI # 3361
9,47*,28,16,6,3,293.75,7,not out,1,,v New Zealand,Nottingham,5 Jun 2013,ODI # 3362
10,1,1,2,0,0,50.00,7,bowled,1,,v Australia,Birmingham,8 Jun 2013,ODI # 3365
11,0,4,2,0,0,0.00,6,caught,1,,v Sri Lanka,The Oval,13 Jun 2013,ODI # 3370
12,14,17,9,2,0,155.55,6,caught,1,,v New Zealand,Cardiff,16 Jun 2013,ODI # 3373
13,DNB,-,-,-,-,-,-,-,2,,v South Africa,The Oval,19 Jun 2013,ODI # 3375
14,0,7,1,0,0,0.00,7,bowled,2,,v India,Birmingham,23 Jun 2013,ODI # 3377
15,DNB,-,-,-,-,-,-,-,2,,v Ireland,Dublin (Malahide),3 Sep 2013,ODI # 3409
16,75,85,65,5,3,115.38,7,caught,2,,v Australia,Manchester,8 Sep 2013,ODI # 3412
17,DNB,-,-,-,-,-,-,-,1,,v Australia,Birmingham,11 Sep 2013,ODI # 3414
18,65*,72,48,5,2,135.41,7,not out,2,,v Australia,Cardiff,14 Sep 2013,ODI # 3415
19,42,53,37,4,0,113.51,7,bowled,2,,v Australia,Southampton,16 Sep 2013,ODI # 3416
20,34*,31,24,1,1,141.66,8,not out,1,,v Australia,Melbourne,12 Jan 2014,ODI # 3454
21,49,54,36,3,1,136.11,7,caught,1,,v Australia,Brisbane,17 Jan 2014,ODI # 3455
22,4,17,8,0,0,50.00,7,bowled,1,,v Australia,Sydney,19 Jan 2014,ODI # 3457
23,71,52,43,6,4,165.11,7,caught,1,,v Australia,Perth,24 Jan 2014,ODI # 3461
24,5,17,9,0,0,55.55,7,caught,2,,v Australia,Adelaide,26 Jan 2014,ODI # 3463
25,12,15,17,1,0,70.58,6,caught,2,,v West Indies,North Sound,28 Feb 2014,ODI # 3477
26,0,1,1,0,0,0.00,6,caught,2,,v West Indies,North Sound,2 Mar 2014,ODI # 3480
27,99,102,84,7,4,117.85,6,caught,1,,v West Indies,North Sound,5 Mar 2014,ODI # 3484
28,9,11,5,1,0,180.00,4,caught,1,,v Scotland,Aberdeen,9 May 2014,ODI # 3491
29,26*,38,20,1,1,130.00,7,not out,1,,v Sri Lanka,The Oval,22 May 2014,ODI # 3492
30,4,10,6,1,0,66.66,7,caught,2,,v Sri Lanka,Chester-le-Street,25 May 2014,ODI # 3493
31,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Manchester,28 May 2014,ODI # 3494
32,121,102,74,11,4,163.51,7,run out,2,,v Sri Lanka,Lord's,31 May 2014,ODI # 3495
33,21,53,24,1,0,87.50,7,run out,1,,v Sri Lanka,Birmingham,3 Jun 2014,ODI # 3496
34,2,4,9,0,0,22.22,6,caught,2,,v India,Cardiff,27 Aug 2014,ODI # 3517
