,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,27*,33,21,1,2,128.57,6,not out,2,,v India,Pune,26 Mar 2021,ODI # 4283
2,36,40,31,4,1,116.12,6,caught,2,,v India,Pune,28 Mar 2021,ODI # 4284
3,9,26,12,0,1,75.00,2,caught,2,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
4,66*,26,22,6,6,300.00,6,not out,1,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
5,4,9,6,0,0,66.66,5,bowled,2,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
6,DNB,-,-,-,-,-,-,-,2,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
7,0,12,8,0,0,0.00,6,bowled,1,,v India,The Oval,12 Jul 2022,ODI # 4424
8,33,49,33,2,2,100.00,6,caught,1,,v India,Lord's,14 Jul 2022,ODI # 4428
9,27,39,31,2,2,87.09,7,caught,1,,v India,Manchester,17 Jul 2022,ODI # 4433
10,10,21,14,1,0,71.42,6,bowled,2,,v South Africa,Chester-le-Street,19 Jul 2022,ODI # 4434
11,38,40,26,1,3,146.15,7,caught,1,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
12,TDNB,-,-,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
13,52,42,40,3,3,130.00,6,caught,1,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
14,95*,98,78,9,1,121.79,7,not out,1,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
15,11,22,13,0,0,84.61,6,caught,1,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
16,28,51,38,0,1,73.68,6,lbw,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
17,20,23,22,3,0,90.90,7,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
18,0,1,1,0,0,0.00,6,bowled,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,9,26,12,0,1,75.00,2,caught,2,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
2,0,12,8,0,0,0.00,6,bowled,1,,v India,The Oval,12 Jul 2022,ODI # 4424
3,33,49,33,2,2,100.00,6,caught,1,,v India,Lord's,14 Jul 2022,ODI # 4428
4,27,39,31,2,2,87.09,7,caught,1,,v India,Manchester,17 Jul 2022,ODI # 4433
5,10,21,14,1,0,71.42,6,bowled,2,,v South Africa,Chester-le-Street,19 Jul 2022,ODI # 4434
6,38,40,26,1,3,146.15,7,caught,1,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
7,TDNB,-,-,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
8,52,42,40,3,3,130.00,6,caught,1,,v New Zealand,Cardiff,8 Sep 2023,ODI # 4636
9,95*,98,78,9,1,121.79,7,not out,1,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
10,11,22,13,0,0,84.61,6,caught,1,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
11,28,51,38,0,1,73.68,6,lbw,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,27*,33,21,1,2,128.57,6,not out,2,,v India,Pune,26 Mar 2021,ODI # 4283
2,36,40,31,4,1,116.12,6,caught,2,,v India,Pune,28 Mar 2021,ODI # 4284
3,66*,26,22,6,6,300.00,6,not out,1,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
4,4,9,6,0,0,66.66,5,bowled,2,,v Netherlands,Amstelveen,19 Jun 2022,ODI # 4414
5,DNB,-,-,-,-,-,-,-,2,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
6,20,23,22,3,0,90.90,7,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
7,0,1,1,0,0,0.00,6,bowled,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
