,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,44,83,59,3,0,74.57,2,caught,2,,v West Indies,North Sound,28 Feb 2014,ODI # 3477
2,10,27,16,1,0,62.50,2,caught,2,,v West Indies,North Sound,2 Mar 2014,ODI # 3480
3,55,92,59,3,1,93.22,2,caught,1,,v West Indies,North Sound,5 Mar 2014,ODI # 3484
4,67,51,50,4,3,134.00,7,bowled,1,,v India,Birmingham,2 Sep 2014,ODI # 3523
5,9,11,8,2,0,112.50,3,caught,1,,v India,Leeds,5 Sep 2014,ODI # 3525
6,119,139,87,11,5,136.78,2,caught,2,,v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
7,2,7,7,0,0,28.57,2,bowled,1,,v Sri Lanka,Colombo (RPS),29 Nov 2014,ODI # 3557
8,58,65,40,2,5,145.00,2,run out,2,,v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
9,19,37,20,3,0,95.00,1,caught,1,,v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
10,4,4,4,1,0,100.00,2,bowled,2,,v Sri Lanka,Pallekele,10 Dec 2014,ODI # 3565
11,34,33,32,4,2,106.25,2,caught,2,,v Sri Lanka,Pallekele,13 Dec 2014,ODI # 3567
12,0,3,1,0,0,0.00,2,bowled,2,,v Sri Lanka,Colombo (RPS),16 Dec 2014,ODI # 3569
13,22,41,21,2,1,104.76,2,caught,1,,v Australia,Sydney,16 Jan 2015,ODI # 3578
14,8,13,12,1,0,66.66,2,caught,2,,v India,Brisbane,20 Jan 2015,ODI # 3586
15,46,69,48,3,3,95.83,1,caught,1,,v Australia,Hobart,23 Jan 2015,ODI # 3589
16,17,57,34,1,0,50.00,2,caught,2,,v India,Perth,30 Jan 2015,ODI # 3595
17,26,44,30,5,0,86.66,1,caught,2,,v Australia,Perth,1 Feb 2015,ODI # 3597
18,10,20,13,2,0,76.92,1,caught,2,,v Australia,Melbourne,14 Feb 2015,ODI # 3600
19,20,31,15,4,0,133.33,2,bowled,1,,v New Zealand,Wellington,20 Feb 2015,ODI # 3607
20,128,142,107,12,5,119.62,1,caught,1,,v Scotland,Christchurch,23 Feb 2015,ODI # 3611
21,15,43,26,3,0,57.69,1,caught,1,,v Sri Lanka,Wellington,1 Mar 2015,ODI # 3619
22,19,35,21,3,0,90.47,1,run out,2,,v Bangladesh,Adelaide,9 Mar 2015,ODI # 3630
23,17,30,18,3,0,94.44,7,caught,2,,v Australia,Southampton,3 Sep 2015,ODI # 3680
24,8,19,15,0,0,53.33,7,caught,2,,v Australia,Lord's,5 Sep 2015,ODI # 3681
25,1,5,3,0,0,33.33,7,caught,1,,v Australia,Manchester,8 Sep 2015,ODI # 3682
26,21*,40,23,1,1,91.30,7,not out,2,,v Australia,Leeds,11 Sep 2015,ODI # 3683
27,5,16,5,1,0,100.00,7,caught,1,,v Australia,Manchester,13 Sep 2015,ODI # 3684
