,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,15,-,21,1,1,71.42,8,caught,2,,v Australia,Manchester,24 Jun 2018,ODI # 4013
2,2,-,8,0,0,25.00,7,caught,2,,v Sri Lanka,Colombo (RPS),23 Oct 2018,ODI # 4058
3,7,25,18,0,0,38.88,7,bowled,1,,v South Africa,Cape Town,4 Feb 2020,ODI # 4234
4,TDNB,-,-,-,-,-,-,-,-,,v South Africa,Durban,7 Feb 2020,ODI # 4238
5,1,9,5,0,0,20.00,8,caught,1,,v Australia,Manchester,13 Sep 2020,ODI # 4260
6,12,24,20,1,0,60.00,8,caught,2,,v India,Pune,23 Mar 2021,ODI # 4281
7,DNB,-,-,-,-,-,-,-,2,,v India,Pune,26 Mar 2021,ODI # 4283
8,95*,134,83,9,3,114.45,8,not out,2,,v India,Pune,28 Mar 2021,ODI # 4284
9,9*,17,9,1,0,100.00,7,not out,2,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
10,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,The Oval,1 Jul 2021,ODI # 4297
11,TDNB,-,-,-,-,-,-,-,-,,v Sri Lanka,Bristol,4 Jul 2021,ODI # 4298
12,DNB,-,-,-,-,-,-,-,1,,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
13,DNB,-,-,-,-,-,-,-,2,,v Netherlands,Amstelveen,22 Jun 2022,ODI # 4417
14,18,35,18,2,0,100.00,8,lbw,2,,v South Africa,Chester-le-Street,19 Jul 2022,ODI # 4434
15,35,29,18,2,3,194.44,8,caught,1,,v South Africa,Manchester,22 Jul 2022,ODI # 4435
16,TDNB,-,-,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,ODI # 4437
17,0,3,4,0,0,0.00,8,caught,2,,v Australia,Sydney,19 Nov 2022,ODI # 4477
18,12,24,15,0,1,80.00,8,caught,2,,v Australia,Melbourne,22 Nov 2022,ODI # 4480
19,17,44,21,0,1,80.95,7,caught,2,,v South Africa,Bloemfontein,27 Jan 2023,ODI # 4512
20,28,30,17,1,3,164.70,8,caught,1,,v South Africa,Bloemfontein,29 Jan 2023,ODI # 4513
21,11,8,5,0,1,220.00,7,bowled,1,,v South Africa,Kimberley,1 Feb 2023,ODI # 4514
22,33*,32,19,2,3,173.68,8,not out,1,,v Bangladesh,Mirpur,3 Mar 2023,ODI # 4528
23,23,56,49,1,1,46.93,5,caught,2,,v Bangladesh,Chattogram,6 Mar 2023,ODI # 4531
24,42,60,35,1,2,120.00,8,caught,1,,v New Zealand,Southampton,10 Sep 2023,ODI # 4640
25,3,12,6,0,0,50.00,8,caught,1,,v New Zealand,The Oval,13 Sep 2023,ODI # 4643
26,20,20,13,3,0,153.84,8,bowled,1,,v New Zealand,Lord's,15 Sep 2023,ODI # 4647
27,14,30,19,0,0,73.68,8,caught,1,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
28,11,20,15,1,0,73.33,7,caught,1,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,15,-,21,1,1,71.42,8,caught,2,,v Australia,Manchester,24 Jun 2018,ODI # 4013
2,1,9,5,0,0,20.00,8,caught,1,,v Australia,Manchester,13 Sep 2020,ODI # 4260
3,9*,17,9,1,0,100.00,7,not out,2,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
4,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,The Oval,1 Jul 2021,ODI # 4297
