,0,1,2,3,4,5,6,7,8,9,10
0,Team,Score,Overs,RPO,Inns,Result,,Opposition,Ground,Start Date,
1,Afghanistan,338,50.0,6.76,1,won,,v Ireland,Greater Noida,17 Mar 2017,
2,Afghanistan,292/7,50.0,5.84,1,won,,v Ireland,Greater Noida,15 Mar 2017,
3,Afghanistan,284,49.5,5.69,1,-,,v England,Delhi,15 Oct 2023,
4,Afghanistan,272/8,50.0,5.44,1,lost,,v India,Delhi,11 Oct 2023,
5,Afghanistan,264/8,50.0,5.28,1,lost,,v Ireland,Greater Noida,19 Mar 2017,
6,Afghanistan,256/8,50.0,5.12,1,lost,,v Ireland,Dehradun,5 Mar 2019,
7,Afghanistan,250/7,48.3,5.15,1,n/r,,v Ireland,Dehradun,2 Mar 2019,
8,Afghanistan,249/7,50.0,4.98,1,lost,,v West Indies,Lucknow,11 Nov 2019,
9,Afghanistan,231/3,48.4,4.74,2,won,,v Ireland,Greater Noida,24 Mar 2017,
10,Afghanistan,223,49.1,4.53,1,won,,v Ireland,Dehradun,8 Mar 2019,
11,Afghanistan,220,49.5,4.41,1,lost,,v Ireland,Greater Noida,22 Mar 2017,
12,Afghanistan,216/6,50.0,4.32,1,lost,,v Ireland,Dehradun,10 Mar 2019,
13,Afghanistan,200,45.4,4.37,2,lost,,v West Indies,Lucknow,9 Nov 2019,
14,Afghanistan,194,45.2,4.27,1,lost,,v West Indies,Lucknow,6 Nov 2019,
15,Afghanistan,165/5,41.5,3.94,2,won,,v Ireland,Dehradun,28 Feb 2019,
16,Afghanistan,156,37.2,4.17,1,lost,,v Bangladesh,Dharamsala,7 Oct 2023,
