,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,9,60,27,1,0,33.33,3,bowled,1,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
2,88,99,70,9,2,125.71,3,caught,1,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
3,65,82,63,8,1,103.17,3,caught,2,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
4,18,39,21,2,0,85.71,5,caught,1,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
5,30,57,37,2,0,81.08,5,caught,1,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
6,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
7,TDNB,-,-,-,-,-,-,-,-,,v West Indies,Providence,8 Aug 2019,ODI # 4196
8,71,101,68,5,1,104.41,5,bowled,1,,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
9,65,65,41,3,5,158.53,5,caught,2,,v West Indies,Port of Spain,14 Aug 2019,ODI # 4199
10,70,-,88,5,1,79.54,4,caught,1,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
11,53,-,32,3,4,165.62,4,caught,1,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
12,7,-,7,1,0,100.00,4,caught,2,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
13,4,-,9,0,0,44.44,5,caught,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
14,7,-,17,1,0,41.17,4,bowled,1,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
15,44*,-,35,6,1,125.71,4,not out,2,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
16,103,161,107,11,1,96.26,4,caught,1,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
17,52,101,57,7,1,91.22,4,caught,2,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
18,62,102,63,9,0,98.41,4,caught,1,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
