,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,9,32,21,1,0,42.85,3,caught,1,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
2,7,13,11,1,0,63.63,3,caught,1,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
3,33,-,39,3,1,84.61,2,lbw,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
4,64,83,53,6,2,120.75,2,run out,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
5,43,70,49,5,0,87.75,2,caught,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
6,98*,162,98,7,2,100.00,2,not out,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
7,82*,130,72,10,1,113.88,2,not out,2,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
8,33,62,34,6,0,97.05,3,caught,2,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
9,130,145,97,15,1,134.02,3,caught,1,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
10,3,13,7,0,0,42.85,2,bowled,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
11,28,34,26,5,0,107.69,2,caught,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
12,49,82,57,8,0,85.96,2,lbw,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
13,50,93,65,1,3,76.92,2,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
14,45*,-,42,4,1,107.14,2,not out,1,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
15,13,34,22,2,0,59.09,2,caught,1,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
16,70,89,60,11,0,116.66,2,lbw,1,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
17,21,25,12,5,0,175.00,2,caught,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
18,116,147,97,14,2,119.58,2,bowled,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
19,208,225,149,19,9,139.59,2,caught,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
20,40*,88,53,6,0,75.47,2,not out,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
21,112,120,78,13,5,143.58,2,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
22,20,57,31,3,0,64.51,2,caught,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
23,0,4,2,0,0,0.00,2,caught,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
24,37,62,49,4,1,75.51,2,lbw,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
25,7,19,16,1,0,43.75,2,caught,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
26,34,72,49,5,0,69.38,2,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
27,85,168,92,11,0,92.39,2,caught,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
28,10,75,32,1,0,31.25,2,bowled,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
29,67*,87,62,8,1,108.06,2,not out,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
30,58,83,52,10,0,111.53,2,caught,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
