,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,31*,26,20,5,0,155.00,5,not out,2,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
2,53,78,44,6,0,120.45,5,lbw,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
3,40,63,37,7,0,108.10,5,lbw,1,,v Sri Lanka,Colombo (RPS),23 Jul 2021,ODI # 4312
4,39,42,32,4,1,121.87,6,caught,2,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
5,34*,47,36,5,0,94.44,5,not out,2,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
6,64,118,83,5,0,77.10,5,caught,1,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
7,6,13,7,1,0,85.71,6,caught,1,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
8,DNB,-,-,-,-,-,-,-,2,,v England,The Oval,12 Jul 2022,ODI # 4424
9,27,45,29,1,1,93.10,5,bowled,2,,v England,Lord's,14 Jul 2022,ODI # 4428
10,16,34,28,1,0,57.14,5,caught,2,,v England,Manchester,17 Jul 2022,ODI # 4433
11,13,22,14,2,0,92.85,4,bowled,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
12,9,10,8,0,1,112.50,4,bowled,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
13,8,9,6,1,0,133.33,4,caught,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
14,4,2,3,1,0,133.33,5,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
15,34*,-,25,2,3,136.00,3,not out,1,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
16,6,17,10,0,0,60.00,5,caught,1,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
17,4,6,4,0,0,100.00,6,caught,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
18,31,39,26,4,0,119.23,5,caught,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
19,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
20,14,19,9,0,2,155.55,5,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
21,0,3,1,0,0,0.00,4,lbw,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
22,0,1,1,0,0,0.00,4,lbw,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
23,0,2,1,0,0,0.00,7,bowled,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
24,19,30,25,3,1,76.00,3,lbw,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
25,24,37,25,3,0,96.00,6,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
26,35,43,30,2,2,116.66,6,caught,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
27,26,37,34,3,0,76.47,6,bowled,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
28,50,66,49,5,1,102.04,6,caught,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
29,72*,48,37,6,6,194.59,6,not out,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
30,8,7,7,1,0,114.28,6,caught,2,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,34*,47,36,5,0,94.44,5,not out,2,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
2,64,118,83,5,0,77.10,5,caught,1,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
3,6,13,7,1,0,85.71,6,caught,1,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
4,4,6,4,0,0,100.00,6,caught,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
5,31,39,26,4,0,119.23,5,caught,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
6,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
7,14,19,9,0,2,155.55,5,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
8,0,3,1,0,0,0.00,4,lbw,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
9,0,1,1,0,0,0.00,4,lbw,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
10,0,2,1,0,0,0.00,7,bowled,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
11,50,66,49,5,1,102.04,6,caught,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
12,72*,48,37,6,6,194.59,6,not out,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
13,8,7,7,1,0,114.28,6,caught,2,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,31*,26,20,5,0,155.00,5,not out,2,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
2,53,78,44,6,0,120.45,5,lbw,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
3,40,63,37,7,0,108.10,5,lbw,1,,v Sri Lanka,Colombo (RPS),23 Jul 2021,ODI # 4312
4,39,42,32,4,1,121.87,6,caught,2,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
5,DNB,-,-,-,-,-,-,-,2,,v England,The Oval,12 Jul 2022,ODI # 4424
6,27,45,29,1,1,93.10,5,bowled,2,,v England,Lord's,14 Jul 2022,ODI # 4428
7,16,34,28,1,0,57.14,5,caught,2,,v England,Manchester,17 Jul 2022,ODI # 4433
8,13,22,14,2,0,92.85,4,bowled,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
9,9,10,8,0,1,112.50,4,bowled,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
10,8,9,6,1,0,133.33,4,caught,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
11,4,2,3,1,0,133.33,5,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
12,34*,-,25,2,3,136.00,3,not out,1,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
13,6,17,10,0,0,60.00,5,caught,1,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
14,19,30,25,3,1,76.00,3,lbw,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
15,24,37,25,3,0,96.00,6,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
16,35,43,30,2,2,116.66,6,caught,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
17,26,37,34,3,0,76.47,6,bowled,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
