,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,40,2,4.00,3,1,,v Australia,Sydney,23 Jan 2016,ODI # 3727
2,9.5,2,28,4,2.84,3,1,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
3,6.0,0,27,1,4.50,3,1,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
4,10.0,1,22,4,2.20,3,1,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
5,8.0,1,29,0,3.62,3,1,,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
6,10.0,0,35,3,3.50,3,1,,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
7,9.4,0,52,2,5.37,3,1,,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
8,5.0,0,16,1,3.20,2,2,,v New Zealand,Visakhapatnam,29 Oct 2016,ODI # 3800
9,10.0,0,79,2,7.90,3,1,,v England,Pune,15 Jan 2017,ODI # 3819
10,9.0,0,81,2,9.00,2,2,,v England,Cuttack,19 Jan 2017,ODI # 3821
11,10.0,1,68,1,6.80,3,1,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
12,5.0,0,23,0,4.60,3,2,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
13,10.0,0,52,0,5.20,3,2,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
14,8.0,0,28,2,3.50,2,1,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
15,10.0,1,39,2,3.90,2,1,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
16,9.0,0,68,0,7.55,2,1,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
17,6.2,0,22,2,3.47,3,1,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
18,10.0,2,43,4,4.30,2,1,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
19,10.0,2,27,5,2.70,2,1,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
20,7.0,0,32,2,4.57,2,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
21,10.0,0,45,2,4.50,3,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
22,4.0,0,20,1,5.00,2,2,,v Australia,Chennai,17 Sep 2017,ODI # 3910
23,7.0,1,39,0,5.57,2,2,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
24,10.0,0,52,2,5.20,2,1,,v Australia,Indore,24 Sep 2017,ODI # 3914
25,10.0,2,51,2,5.10,2,1,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
26,9.0,0,56,1,6.22,2,2,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
27,10.0,2,38,2,3.80,2,1,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
28,10.0,0,47,3,4.70,2,2,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
29,7.0,1,32,1,4.57,2,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
30,10.0,0,43,2,4.30,3,2,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
31,8.0,1,39,1,4.87,2,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
32,10.0,0,56,1,5.60,2,1,,v South Africa,Durban,1 Feb 2018,ODI # 3969
33,5.0,1,12,1,2.40,2,1,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
34,7.0,0,32,2,4.57,2,2,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
35,5.0,0,21,1,4.20,2,2,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
36,7.0,0,22,1,3.14,2,2,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
37,8.0,1,24,2,3.00,2,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
