,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,TDNB,-,-,-,-,-,-,,v West Indies,Port of Spain,23 Jun 2017,ODI # 3895
2,9.0,0,50,3,5.55,5,2,,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896
3,10.0,1,41,3,4.10,4,2,,v West Indies,North Sound,30 Jun 2017,ODI # 3898
4,10.0,1,31,2,3.10,5,1,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
5,10.0,0,36,0,3.60,5,1,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
6,8.4,1,31,2,3.57,5,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
7,10.0,0,40,1,4.00,4,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
8,4.0,0,33,2,8.25,4,2,,v Australia,Chennai,17 Sep 2017,ODI # 3910
9,10.0,1,54,3,5.40,5,2,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
10,10.0,0,75,2,7.50,5,1,,v Australia,Indore,24 Sep 2017,ODI # 3914
11,10.0,1,48,0,4.80,4,1,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
12,10.0,0,64,1,6.40,3,2,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
13,DNB,-,-,-,-,-,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
14,10.0,0,42,3,4.20,4,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
15,10.0,0,34,3,3.40,5,1,,v South Africa,Durban,1 Feb 2018,ODI # 3969
16,6.0,0,20,3,3.33,5,1,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
17,9.0,1,23,4,2.55,5,2,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
18,6.0,0,51,2,8.50,3,2,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
19,10.0,0,57,4,5.70,4,2,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
20,10.0,0,51,1,5.10,4,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
21,10.0,0,25,6,2.50,5,1,,v England,Nottingham,12 Jul 2018,ODI # 4014
22,10.0,0,68,3,6.80,5,1,,v England,Lord's,14 Jul 2018,ODI # 4016
23,10.0,0,55,0,5.50,5,2,,v England,Leeds,17 Jul 2018,ODI # 4018
24,10.0,2,42,2,4.20,5,2,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
25,8.0,0,37,1,4.62,5,1,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
