,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,26,1,3.71,1,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
2,6.0,0,48,0,8.00,2,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
3,8.5,0,52,4,5.88,1,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
4,10.0,0,51,1,5.10,3,2,,v England,Leeds,17 Jul 2018,ODI # 4018
5,4.0,0,41,0,10.25,3,2,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
6,8.0,0,55,1,6.87,2,2,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
7,10.0,0,66,1,6.60,1,1,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
8,5.0,0,43,0,8.60,3,2,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
9,9.0,0,80,1,8.88,3,2,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
10,10.0,1,60,2,6.00,1,1,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
11,9.1,0,87,1,9.49,4,2,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
12,10.0,1,51,3,5.10,3,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
13,6.0,0,37,3,6.16,3,2,,v England,Pune,23 Mar 2021,ODI # 4281
14,7.3,0,54,0,7.20,3,2,,v England,Pune,26 Mar 2021,ODI # 4283
15,10.0,0,67,4,6.70,4,2,,v England,Pune,28 Mar 2021,ODI # 4284
16,10.0,1,72,0,7.20,3,1,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
17,5.0,0,35,1,7.00,5,2,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
18,7.0,0,38,0,5.42,4,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
19,9.0,1,41,2,4.55,2,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
20,8.0,0,54,2,6.75,3,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
21,7.0,0,54,3,7.71,3,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
22,5.0,0,17,2,3.40,6,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
23,7.0,0,38,3,5.42,3,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
24,9.0,0,55,1,6.11,3,2,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
25,8.0,1,35,2,4.37,3,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
26,5.0,0,36,1,7.20,6,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
27,2.0,0,8,0,4.00,5,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
28,9.0,1,63,1,7.00,2,2,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
29,9.0,1,21,1,2.33,6,2,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
30,10.0,1,47,0,4.70,3,1,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
31,5.0,0,30,3,6.00,2,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
32,7.2,0,54,2,7.36,5,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
33,6.0,1,26,1,4.33,3,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
34,6.0,0,45,3,7.50,3,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
35,2.0,0,12,0,6.00,4,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
36,3.0,1,14,1,4.66,3,1,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
37,8.0,0,42,3,5.25,4,2,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
38,6.3,0,37,4,5.69,3,2,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
39,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
40,4.0,0,26,1,6.50,4,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
41,4.0,0,16,1,4.00,4,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
42,10.0,0,65,3,6.50,2,1,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
43,10.0,0,78,0,7.80,3,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
44,4.0,0,35,0,8.75,4,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
45,6.0,0,31,1,5.16,4,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,8.0,0,55,1,6.87,2,2,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
2,10.0,0,66,1,6.60,1,1,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
3,5.0,0,43,0,8.60,3,2,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
4,6.0,0,37,3,6.16,3,2,,v England,Pune,23 Mar 2021,ODI # 4281
5,7.3,0,54,0,7.20,3,2,,v England,Pune,26 Mar 2021,ODI # 4283
6,10.0,0,67,4,6.70,4,2,,v England,Pune,28 Mar 2021,ODI # 4284
7,7.0,0,38,0,5.42,4,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
8,9.0,1,41,2,4.55,2,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
9,8.0,1,35,2,4.37,3,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
10,5.0,0,36,1,7.20,6,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
11,2.0,0,8,0,4.00,5,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
12,7.2,0,54,2,7.36,5,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
13,6.0,1,26,1,4.33,3,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
14,6.0,0,45,3,7.50,3,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
15,2.0,0,12,0,6.00,4,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
16,10.0,0,78,0,7.80,3,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
17,4.0,0,35,0,8.75,4,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
18,6.0,0,31,1,5.16,4,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,26,1,3.71,1,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
2,6.0,0,48,0,8.00,2,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
3,8.5,0,52,4,5.88,1,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
4,10.0,0,51,1,5.10,3,2,,v England,Leeds,17 Jul 2018,ODI # 4018
5,4.0,0,41,0,10.25,3,2,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
6,9.0,0,80,1,8.88,3,2,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
7,10.0,1,60,2,6.00,1,1,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
8,9.1,0,87,1,9.49,4,2,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
9,10.0,1,51,3,5.10,3,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
