,0,1,2,3,4,5,6,7,8,9,10
0,Team,Score,Overs,RPO,Inns,Result,,Opposition,Ground,Start Date,
1,New Zealand,358/6,50.0,7.16,1,won,,v Canada,Wankhede,13 Mar 2011,
2,New Zealand,349/9,50.0,6.98,1,won,,v India,Rajkot,5 Nov 1999,
3,New Zealand,348/8,50.0,6.96,1,won,,v India,Nagpur,26 Nov 1995,
4,New Zealand,337,49.2,6.83,2,lost,,v India,Hyderabad,18 Jan 2023,
5,New Zealand,331/7,50.0,6.62,2,lost,,v India,Kanpur,29 Oct 2017,
6,New Zealand,322/7,50.0,6.44,1,won,,v Netherlands,Hyderabad,9 Oct 2023,
7,New Zealand,315/7,50.0,6.30,1,lost,,v India,Bengaluru,7 Dec 2010,
8,New Zealand,307/8,50.0,6.14,1,won,,v Netherlands,Vadodara,17 Feb 1996,
9,New Zealand,295,41.2,7.13,2,lost,,v India,Indore,24 Jan 2023,
10,New Zealand,286/9,50.0,5.72,1,lost,,v Australia,Chennai,11 Mar 1996,
11,New Zealand,285/7,50.0,5.70,1,won,,v Pakistan,Mohali,9 May 1997,
12,New Zealand,285,49.4,5.73,1,lost,,v India,Mohali,23 Oct 2016,
13,New Zealand,284/4,49.0,5.79,2,won,,v India,Wankhede,22 Oct 2017,
14,New Zealand,283/1,36.2,7.78,2,won,,v England,Ahmedabad,5 Oct 2023,
15,New Zealand,278/3,50.0,5.56,1,lost,,v India,Vadodara,17 Dec 1988,
16,New Zealand,274/7,50.0,5.48,1,won,,v Pakistan,Mohali,25 Oct 2006,
17,New Zealand,269/4,50.0,5.38,1,lost,,v India,Vadodara,28 Oct 1994,
18,New Zealand,260/7,50.0,5.20,1,won,,v India,Ranchi,26 Oct 2016,
19,New Zealand,258/9,50.0,5.16,1,lost,,v Australia,Pune,3 Nov 2003,
20,New Zealand,258/8,50.0,5.16,1,lost,,v India,Jaipur,1 Dec 2010,
21,New Zealand,249/6,47.3,5.24,2,won,,v India,Cuttack,6 Nov 2003,
22,New Zealand,248/2,42.5,5.78,2,won,,v Bangladesh,Chennai,13 Oct 2023,
23,New Zealand,247/8,50.0,4.94,2,lost,,v India,Gwalior,11 Nov 1999,
24,New Zealand,242/7,50.0,4.84,1,won,,v Zimbabwe,Hyderabad (Deccan),10 Oct 1987,
25,New Zealand,242/9,50.0,4.84,1,won,,v India,Delhi,20 Oct 2016,
26,New Zealand,239/6,50.0,4.78,1,won,,v England,Ahmedabad,14 Feb 1996,
27,New Zealand,237/2,46.5,5.06,2,won,,v India,Jamshedpur,15 Nov 1995,
28,New Zealand,236/8,50.0,4.72,2,lost,,v India,Bengaluru,14 Oct 1987,
29,New Zealand,236/9,50.0,4.72,1,won,,v India,Guwahati,14 Nov 1999,
30,New Zealand,236,45.2,5.20,2,lost,,v India,Guwahati,28 Nov 2010,
31,New Zealand,235/6,50.0,4.70,1,lost,,v India,Pune,24 Nov 1995,
32,New Zealand,234,48.4,4.80,2,lost,,v Australia,Chandigarh,27 Oct 1987,
33,New Zealand,230/9,50.0,4.60,1,lost,,v India,Pune,25 Oct 2017,
