,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,30,-,60,1,1,50.00,5,caught,1,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
2,0,-,2,0,0,0.00,5,stumped,2,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
3,2,14,13,0,0,15.38,4,caught,2,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
4,0,-,5,0,0,0.00,6,bowled,1,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
5,21,79,59,1,0,35.59,4,caught,1,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
6,23,60,40,3,0,57.50,4,lbw,1,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
7,18,82,66,2,0,27.27,5,caught,2,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
8,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
9,9,24,23,0,0,39.13,4,lbw,2,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
10,34,-,83,1,0,40.96,4,bowled,2,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
11,8,32,22,0,0,36.36,5,caught,2,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
12,7,35,21,1,0,33.33,4,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
13,37,90,58,5,0,63.79,4,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
14,21,63,34,2,0,61.76,4,bowled,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
15,17,-,27,1,0,62.96,4,caught,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
16,0,10,11,0,0,0.00,4,bowled,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
17,25,39,24,2,1,104.16,4,caught,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
18,28,41,38,0,1,73.68,5,caught,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
19,34,54,41,2,1,82.92,4,caught,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
20,56,84,78,3,0,71.79,4,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
21,16,40,30,0,0,53.33,4,lbw,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
22,89,-,120,2,3,74.16,4,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
23,5,21,12,0,0,41.66,4,caught,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
24,4,8,8,0,0,50.00,5,bowled,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
25,4,32,24,0,0,16.66,4,caught,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
26,41*,52,39,6,0,105.12,4,not out,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
27,33,59,47,1,0,70.21,4,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
28,41,90,53,3,0,77.35,4,bowled,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
29,39,24,19,5,1,205.26,5,caught,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
30,123,116,92,7,5,133.69,4,run out,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
31,67,92,68,6,2,98.52,4,bowled,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
32,18,21,25,3,0,72.00,4,caught,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,30,-,60,1,1,50.00,5,caught,1,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
2,0,-,2,0,0,0.00,5,stumped,2,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
3,2,14,13,0,0,15.38,4,caught,2,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
4,0,-,5,0,0,0.00,6,bowled,1,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
5,21,79,59,1,0,35.59,4,caught,1,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
6,23,60,40,3,0,57.50,4,lbw,1,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
7,18,82,66,2,0,27.27,5,caught,2,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
8,17,-,27,1,0,62.96,4,caught,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
9,0,10,11,0,0,0.00,4,bowled,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
10,25,39,24,2,1,104.16,4,caught,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
11,28,41,38,0,1,73.68,5,caught,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
12,34,54,41,2,1,82.92,4,caught,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
13,56,84,78,3,0,71.79,4,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
14,16,40,30,0,0,53.33,4,lbw,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
15,89,-,120,2,3,74.16,4,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
16,5,21,12,0,0,41.66,4,caught,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,9,24,23,0,0,39.13,4,lbw,2,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
3,34,-,83,1,0,40.96,4,bowled,2,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
4,8,32,22,0,0,36.36,5,caught,2,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
5,7,35,21,1,0,33.33,4,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
6,37,90,58,5,0,63.79,4,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
7,21,63,34,2,0,61.76,4,bowled,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
8,4,8,8,0,0,50.00,5,bowled,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
9,4,32,24,0,0,16.66,4,caught,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
10,41*,52,39,6,0,105.12,4,not out,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
11,33,59,47,1,0,70.21,4,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
12,41,90,53,3,0,77.35,4,bowled,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
13,39,24,19,5,1,205.26,5,caught,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
14,123,116,92,7,5,133.69,4,run out,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
15,67,92,68,6,2,98.52,4,bowled,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
16,18,21,25,3,0,72.00,4,caught,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
