,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,2.0,0,10,1,5.00,5,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
2,6.0,1,12,0,2.00,4,2,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
3,6.0,0,29,1,4.83,7,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
4,3.0,0,16,0,5.33,6,1,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
5,6.0,0,49,2,8.16,7,1,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
6,8.0,0,46,1,5.75,5,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
7,7.3,1,33,1,4.40,4,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
8,10.0,1,44,1,4.40,5,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
9,6.0,0,55,0,9.16,6,1,,v England,Amstelveen,17 Jun 2022,ODI # 4413
10,9.0,1,55,2,6.11,6,2,,v England,Amstelveen,19 Jun 2022,ODI # 4414
11,2.0,0,22,0,11.00,5,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
12,9.0,1,44,0,4.88,1,1,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
13,8.0,0,37,1,4.62,1,2,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
14,10.0,1,34,1,3.40,1,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
15,10.0,0,31,0,3.10,4,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
16,6.0,1,30,1,5.00,2,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
17,9.0,0,74,1,8.22,5,1,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
18,9.0,1,61,0,6.77,1,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
19,9.0,0,46,1,5.11,3,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
20,8.0,2,23,1,2.87,6,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
21,10.0,1,71,0,7.10,3,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
22,8.0,0,34,1,4.25,4,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
23,10.0,0,31,3,3.10,4,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
24,5.0,0,27,0,5.40,5,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
25,9.5,0,51,1,5.18,3,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
26,10.0,0,48,1,4.80,1,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
27,10.0,2,62,2,6.20,1,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,2.0,0,10,1,5.00,5,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
2,6.0,1,12,0,2.00,4,2,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
3,8.0,0,46,1,5.75,5,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
4,7.3,1,33,1,4.40,4,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
5,10.0,1,44,1,4.40,5,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
6,6.0,0,55,0,9.16,6,1,,v England,Amstelveen,17 Jun 2022,ODI # 4413
7,9.0,1,55,2,6.11,6,2,,v England,Amstelveen,19 Jun 2022,ODI # 4414
8,2.0,0,22,0,11.00,5,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
9,9.0,1,44,0,4.88,1,1,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
10,8.0,0,37,1,4.62,1,2,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
11,10.0,1,34,1,3.40,1,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,0,29,1,4.83,7,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
2,3.0,0,16,0,5.33,6,1,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
3,6.0,0,49,2,8.16,7,1,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
4,10.0,0,31,0,3.10,4,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
5,6.0,1,30,1,5.00,2,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
6,9.0,0,74,1,8.22,5,1,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
7,9.0,1,61,0,6.77,1,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
8,9.0,0,46,1,5.11,3,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
9,8.0,2,23,1,2.87,6,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
