,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,1.5,0,3,1,1.63,7,2,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
2,2.0,0,12,0,6.00,6,1,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
3,DNB,-,-,-,-,-,1,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
4,3.0,0,14,0,4.66,6,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
5,1.0,0,4,0,4.00,7,2,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
6,DNB,-,-,-,-,-,2,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
7,DNB,-,-,-,-,-,1,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
8,DNB,-,-,-,-,-,1,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
9,3.0,0,5,0,1.66,3,1,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
10,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
11,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
12,2.0,0,17,0,8.50,3,2,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
13,DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
14,6.0,0,37,0,6.16,4,1,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
15,4.0,0,32,0,8.00,6,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
16,8.0,0,46,2,5.75,3,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
17,5.0,1,34,1,6.80,4,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
18,5.0,0,65,0,13.00,4,1,,v England,Amstelveen,17 Jun 2022,ODI # 4413
19,3.0,0,27,0,9.00,5,2,,v England,Amstelveen,19 Jun 2022,ODI # 4414
20,2.0,0,22,0,11.00,6,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
21,10.0,0,42,2,4.20,5,1,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
22,6.0,0,28,0,4.66,5,2,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
23,9.0,0,50,3,5.55,3,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
24,6.0,0,51,1,8.50,3,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
25,10.0,1,37,2,3.70,4,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
26,8.0,0,31,2,3.87,3,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
27,6.0,0,72,2,12.00,4,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
28,9.4,0,42,3,4.34,3,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
29,9.0,0,47,0,5.22,3,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
30,10.0,0,52,5,5.20,4,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
31,9.0,0,62,4,6.88,5,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
32,10.0,0,64,1,6.40,6,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,1.5,0,3,1,1.63,7,2,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
2,2.0,0,12,0,6.00,6,1,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
3,DNB,-,-,-,-,-,1,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
4,3.0,0,14,0,4.66,6,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
5,1.0,0,4,0,4.00,7,2,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
6,DNB,-,-,-,-,-,2,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
7,DNB,-,-,-,-,-,1,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
8,4.0,0,32,0,8.00,6,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
9,8.0,0,46,2,5.75,3,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
10,5.0,1,34,1,6.80,4,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
11,5.0,0,65,0,13.00,4,1,,v England,Amstelveen,17 Jun 2022,ODI # 4413
12,3.0,0,27,0,9.00,5,2,,v England,Amstelveen,19 Jun 2022,ODI # 4414
13,2.0,0,22,0,11.00,6,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
14,10.0,0,42,2,4.20,5,1,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
15,6.0,0,28,0,4.66,5,2,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
16,9.0,0,50,3,5.55,3,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,1,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,3.0,0,5,0,1.66,3,1,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
3,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
4,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
5,2.0,0,17,0,8.50,3,2,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
6,DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
7,6.0,0,37,0,6.16,4,1,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
8,6.0,0,51,1,8.50,3,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
9,10.0,1,37,2,3.70,4,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
10,8.0,0,31,2,3.87,3,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
11,6.0,0,72,2,12.00,4,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
12,9.4,0,42,3,4.34,3,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
13,9.0,0,47,0,5.22,3,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
14,10.0,0,52,5,5.20,4,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
15,9.0,0,62,4,6.88,5,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
16,10.0,0,64,1,6.40,6,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
