,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,18,0,4.50,7,1,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,4.0,0,10,1,2.50,7,1,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
3,7.0,0,33,1,4.71,6,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
4,4.0,0,20,0,5.00,8,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
5,9.0,1,45,0,5.00,6,1,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
6,8.0,0,51,2,6.37,4,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
7,8.0,0,40,0,5.00,1,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
8,8.0,1,39,2,4.87,3,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
9,4.0,0,28,0,7.00,5,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,
1,"Afghanistan v England at Delhi, ICC Cricket World Cup 13th Match, Oct 15, 2023
[ ODI # 4670 - Live ]",,,,,,,,,,,
2,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,
3,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,18,0,4.50,7,1,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,4.0,0,10,1,2.50,7,1,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
3,7.0,0,33,1,4.71,6,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
4,4.0,0,20,0,5.00,8,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
5,9.0,1,45,0,5.00,6,1,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
6,8.0,0,51,2,6.37,4,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
7,8.0,0,40,0,5.00,1,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
8,8.0,1,39,2,4.87,3,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
9,4.0,0,28,0,7.00,5,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
