,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,1,25,1,3.57,1,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
2,9.0,0,32,0,3.55,1,2,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
3,10.0,1,44,2,4.40,2,2,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
4,7.0,0,34,1,4.85,2,2,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
5,9.2,0,29,3,3.10,4,1,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
6,6.0,0,34,1,5.66,2,2,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
7,10.0,2,56,4,5.60,2,1,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
8,9.0,0,58,2,6.44,2,1,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
9,8.0,1,49,2,6.12,1,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
10,10.0,0,39,1,3.90,2,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
11,10.0,1,58,1,5.80,1,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
12,10.0,0,82,1,8.20,1,1,,v England,Amstelveen,17 Jun 2022,ODI # 4413
13,6.0,1,26,0,4.33,1,2,,v England,Amstelveen,19 Jun 2022,ODI # 4414
14,6.0,0,48,0,8.00,2,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
15,10.0,0,89,2,8.90,4,1,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
16,6.0,0,38,0,6.33,3,2,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
17,9.0,1,33,1,3.66,6,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
18,6.5,1,48,0,7.02,2,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
19,9.0,2,43,1,4.77,1,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
20,9.3,1,24,4,2.52,1,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
21,10.0,0,77,1,7.70,1,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
22,9.0,2,26,3,2.88,1,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
23,8.0,0,55,0,6.87,1,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
24,10.0,0,49,1,4.90,1,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
25,10.0,0,40,2,4.00,1,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
26,6.0,0,30,1,5.00,2,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,1,25,1,3.57,1,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
2,9.0,0,32,0,3.55,1,2,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
3,10.0,1,44,2,4.40,2,2,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
4,7.0,0,34,1,4.85,2,2,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
5,9.2,0,29,3,3.10,4,1,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
6,8.0,1,49,2,6.12,1,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
7,10.0,0,39,1,3.90,2,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
8,10.0,1,58,1,5.80,1,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
9,10.0,0,82,1,8.20,1,1,,v England,Amstelveen,17 Jun 2022,ODI # 4413
10,6.0,1,26,0,4.33,1,2,,v England,Amstelveen,19 Jun 2022,ODI # 4414
11,6.0,0,48,0,8.00,2,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
12,10.0,0,89,2,8.90,4,1,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
13,6.0,0,38,0,6.33,3,2,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
14,9.0,1,33,1,3.66,6,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,0,34,1,5.66,2,2,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
2,10.0,2,56,4,5.60,2,1,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
3,9.0,0,58,2,6.44,2,1,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
4,6.5,1,48,0,7.02,2,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
5,9.0,2,43,1,4.77,1,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
6,9.3,1,24,4,2.52,1,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
7,10.0,0,77,1,7.70,1,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
8,9.0,2,26,3,2.88,1,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
9,8.0,0,55,0,6.87,1,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
10,10.0,0,49,1,4.90,1,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
11,10.0,0,40,2,4.00,1,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
12,6.0,0,30,1,5.00,2,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
