,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,54,1,7.71,2,1,,v South Africa,Amstelveen,31 May 2013,ODI # 3359
2,4.0,0,25,0,6.25,2,2,,v Kenya,Lincoln,23 Jan 2014,ODI # 3460
3,7.0,0,31,0,4.42,1,2,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
4,8.0,2,21,1,2.62,1,1,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
5,9.0,1,30,2,3.33,4,1,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
6,7.0,1,28,2,4.00,3,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
7,7.0,1,29,1,4.14,3,2,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
8,7.0,0,59,2,8.42,3,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
9,9.0,0,50,2,5.55,2,1,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
10,10.0,0,66,2,6.60,2,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
11,6.0,0,42,0,7.00,3,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
12,6.0,2,26,0,4.33,4,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
13,10.0,0,79,2,7.90,4,1,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
14,6.0,0,40,1,6.66,4,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
15,9.0,0,59,2,6.55,3,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,54,1,7.71,2,1,,v South Africa,Amstelveen,31 May 2013,ODI # 3359
2,7.0,0,31,0,4.42,1,2,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
3,8.0,2,21,1,2.62,1,1,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
4,9.0,1,30,2,3.33,4,1,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
5,7.0,1,28,2,4.00,3,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
6,7.0,1,29,1,4.14,3,2,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
7,7.0,0,59,2,8.42,3,2,,v England,Amstelveen,22 Jun 2022,ODI # 4417
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,4.0,0,25,0,6.25,2,2,,v Kenya,Lincoln,23 Jan 2014,ODI # 3460
2,9.0,0,50,2,5.55,2,1,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
3,10.0,0,66,2,6.60,2,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
4,6.0,0,42,0,7.00,3,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
5,6.0,2,26,0,4.33,4,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
6,10.0,0,79,2,7.90,4,1,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
7,6.0,0,40,1,6.66,4,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
8,9.0,0,59,2,6.55,3,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
