,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,5.0,0,22,0,4.40,6,1,,v Australia,Centurion,5 Apr 2009,ODI # 2834
2,10.0,0,37,3,3.70,6,2,,v Australia,Cape Town,9 Apr 2009,ODI # 2839
3,10.0,0,46,3,4.60,6,2,,v Australia,Gqeberha,13 Apr 2009,ODI # 2840
4,10.0,0,44,2,4.40,6,1,,v Australia,Johannesburg,17 Apr 2009,ODI # 2841
5,10.0,0,42,0,4.20,6,1,,v Sri Lanka,Centurion,22 Sep 2009,ODI # 2893
6,10.0,1,35,2,3.50,6,1,,v New Zealand,Centurion,24 Sep 2009,ODI # 2895
7,9.0,0,67,0,7.44,5,1,,v England,Centurion,27 Sep 2009,ODI # 2900
8,8.3,0,27,3,3.17,5,2,,v Zimbabwe,Centurion,10 Nov 2009,ODI # 2928
9,9.0,0,55,0,6.11,5,2,,v England,Centurion,22 Nov 2009,ODI # 2929
10,6.0,0,50,0,8.33,5,2,,v England,Cape Town,27 Nov 2009,ODI # 2930
11,10.0,0,62,1,6.20,3,1,,v India,Gwalior,24 Feb 2010,ODI # 2962
12,10.0,0,47,2,4.70,4,2,,v India,Ahmedabad,27 Feb 2010,ODI # 2963
13,10.0,1,27,1,2.70,6,1,,v West Indies,Port of Spain,3 Jun 2010,ODI # 2987
14,9.0,0,57,1,6.33,3,1,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
15,5.0,0,40,0,8.00,6,1,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
16,6.0,0,27,1,4.50,6,1,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
17,6.0,0,36,0,6.00,6,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
18,9.0,0,56,2,6.22,4,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,5.0,0,22,0,4.40,6,1,,v Australia,Centurion,5 Apr 2009,ODI # 2834
2,10.0,0,37,3,3.70,6,2,,v Australia,Cape Town,9 Apr 2009,ODI # 2839
3,10.0,0,46,3,4.60,6,2,,v Australia,Gqeberha,13 Apr 2009,ODI # 2840
4,10.0,0,44,2,4.40,6,1,,v Australia,Johannesburg,17 Apr 2009,ODI # 2841
5,10.0,0,42,0,4.20,6,1,,v Sri Lanka,Centurion,22 Sep 2009,ODI # 2893
6,10.0,1,35,2,3.50,6,1,,v New Zealand,Centurion,24 Sep 2009,ODI # 2895
7,9.0,0,67,0,7.44,5,1,,v England,Centurion,27 Sep 2009,ODI # 2900
8,8.3,0,27,3,3.17,5,2,,v Zimbabwe,Centurion,10 Nov 2009,ODI # 2928
9,9.0,0,55,0,6.11,5,2,,v England,Centurion,22 Nov 2009,ODI # 2929
10,6.0,0,50,0,8.33,5,2,,v England,Cape Town,27 Nov 2009,ODI # 2930
11,9.0,0,57,1,6.33,3,1,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
12,5.0,0,40,0,8.00,6,1,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,62,1,6.20,3,1,,v India,Gwalior,24 Feb 2010,ODI # 2962
2,10.0,0,47,2,4.70,4,2,,v India,Ahmedabad,27 Feb 2010,ODI # 2963
3,10.0,1,27,1,2.70,6,1,,v West Indies,Port of Spain,3 Jun 2010,ODI # 2987
4,6.0,0,27,1,4.50,6,1,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
5,6.0,0,36,0,6.00,6,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
6,9.0,0,56,2,6.22,4,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
