,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,42,1,6.00,3,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
2,7.1,0,38,0,5.30,3,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
3,7.0,1,40,0,5.71,1,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
4,8.0,0,52,1,6.50,3,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
5,9.2,0,38,1,4.07,3,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
6,5.0,0,41,0,8.20,3,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
7,9.0,1,31,2,3.44,2,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
8,6.0,1,25,0,4.16,2,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
9,9.0,0,38,1,4.22,2,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
10,9.0,1,34,2,3.77,2,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
11,10.0,0,59,2,5.90,2,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
12,9.0,1,42,2,4.66,2,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
13,7.0,1,41,0,5.85,2,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.1,0,38,0,5.30,3,2,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
2,7.0,1,40,0,5.71,1,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
3,8.0,0,52,1,6.50,3,1,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,42,1,6.00,3,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
2,9.2,0,38,1,4.07,3,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
3,5.0,0,41,0,8.20,3,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
4,9.0,1,31,2,3.44,2,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
5,6.0,1,25,0,4.16,2,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
6,9.0,0,38,1,4.22,2,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
7,9.0,1,34,2,3.77,2,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
8,10.0,0,59,2,5.90,2,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
9,9.0,1,42,2,4.66,2,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
10,7.0,1,41,0,5.85,2,1,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
