,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,0,28,1,4.66,6,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
2,8.0,0,41,1,5.12,5,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
3,8.0,1,29,1,3.62,5,1,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
4,10.0,1,43,5,4.30,5,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
5,9.4,0,71,2,7.34,5,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
6,5.0,0,39,0,7.80,5,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
7,8.0,0,62,1,7.75,3,1,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
8,6.0,0,62,2,10.33,6,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
9,DNB,-,-,-,-,-,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
10,2.0,0,11,0,5.50,7,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
11,2.0,0,18,0,9.00,6,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,6.0,0,28,1,4.66,6,2,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
2,8.0,0,41,1,5.12,5,1,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,8.0,1,29,1,3.62,5,1,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
2,10.0,1,43,5,4.30,5,1,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
3,9.4,0,71,2,7.34,5,2,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
4,5.0,0,39,0,7.80,5,2,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
5,8.0,0,62,1,7.75,3,1,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
6,6.0,0,62,2,10.33,6,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
7,DNB,-,-,-,-,-,1,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
8,2.0,0,11,0,5.50,7,1,,v Nepal,Harare,24 Jun 2023,ODI # 4598
9,2.0,0,18,0,9.00,6,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
