,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,49,1,7.00,4,1,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
2,1.0,0,9,0,9.00,7,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
3,2.0,0,16,0,8.00,6,2,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
4,DNB,-,-,-,-,-,2,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
5,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
6,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
7,3.0,0,13,1,4.33,6,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
8,1.0,0,17,0,17.00,7,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
9,7.0,0,43,2,6.14,7,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
10,10.0,0,48,2,4.80,5,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
11,3.0,0,26,0,8.66,5,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
12,3.0,0,16,0,5.33,6,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
13,10.0,1,59,2,5.90,6,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
14,2.0,0,15,0,7.50,8,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,7.0,0,49,1,7.00,4,1,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
2,1.0,0,9,0,9.00,7,2,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
3,2.0,0,16,0,8.00,6,2,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
4,DNB,-,-,-,-,-,2,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
2,DNB,-,-,-,-,-,1,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
3,3.0,0,13,1,4.33,6,1,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
4,1.0,0,17,0,17.00,7,2,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
5,7.0,0,43,2,6.14,7,1,,v West Indies,Harare,26 Jun 2023,ODI # 4602
6,10.0,0,48,2,4.80,5,1,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
7,3.0,0,26,0,8.66,5,2,,v Oman,Harare,3 Jul 2023,ODI # 4611
8,3.0,0,16,0,5.33,6,1,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
9,10.0,1,59,2,5.90,6,1,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
10,2.0,0,15,0,7.50,8,1,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
