,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,10,13,9,2,0,111.11,3,caught,2,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
3,5,-,12,1,0,41.66,3,caught,2,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
4,81,148,96,7,2,84.37,2,lbw,2,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
5,50,87,72,4,0,69.44,4,bowled,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
6,28,37,36,2,0,77.77,4,stumped,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
7,37,65,55,2,0,67.27,4,bowled,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
8,17,24,21,3,0,80.95,3,bowled,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
9,69,98,73,5,0,94.52,3,caught,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Statsguru includes the following current or recent One-Day Internationals:,,,,,,,,,,,,,
1,"Afghanistan v England at Delhi, ICC Cricket World Cup 13th Match, Oct 15, 2023
[ ODI # 4670 ]",,,,,,,,,,,,,
2,"India v Pakistan at Ahmedabad, ICC Cricket World Cup 12th match, Oct 14, 2023
[ ODI # 4669 ]",,,,,,,,,,,,,
3,"Bangladesh v New Zealand at Chennai, ICC Cricket World Cup 11th match, Oct 13, 2023
[ ODI # 4668 ]",,,,,,,,,,,,,
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,10,13,9,2,0,111.11,3,caught,2,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
3,5,-,12,1,0,41.66,3,caught,2,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
4,81,148,96,7,2,84.37,2,lbw,2,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
5,50,87,72,4,0,69.44,4,bowled,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
6,28,37,36,2,0,77.77,4,stumped,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
7,37,65,55,2,0,67.27,4,bowled,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
8,17,24,21,3,0,80.95,3,bowled,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
9,69,98,73,5,0,94.52,3,caught,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
