,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,86*,152,119,10,0,72.26,2,not out,2,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
2,59,123,81,3,1,72.83,2,bowled,2,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
3,82,-,102,5,1,80.39,2,run out,1,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
4,8,28,14,0,0,57.14,2,caught,1,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
5,23,44,25,4,0,92.00,2,lbw,1,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
6,36,71,59,5,0,61.01,2,bowled,1,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
7,36,56,49,5,0,73.46,2,bowled,2,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
8,9*,-,9,2,0,100.00,1,not out,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
9,4,10,9,0,0,44.44,2,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
10,0,7,1,0,0,0.00,2,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
11,16,52,33,2,0,48.48,2,lbw,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
12,39,-,69,1,0,56.52,2,bowled,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
13,51,117,78,3,1,65.38,2,bowled,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
14,89,182,121,8,0,73.55,2,bowled,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
15,55,71,55,6,2,100.00,2,bowled,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
16,7,37,14,0,0,50.00,2,caught,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
17,50,101,69,6,0,72.46,2,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
18,1,9,4,0,0,25.00,2,lbw,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
19,1,-,8,0,0,12.50,2,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
20,3,18,11,0,0,27.27,2,caught,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
21,20,66,45,1,0,44.44,2,caught,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
22,81,151,103,6,2,78.64,2,lbw,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
23,38,58,43,6,0,88.37,2,caught,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
24,18,45,27,2,0,66.66,2,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
25,47,88,49,8,0,95.91,2,bowled,2,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
26,59,85,67,10,0,88.05,2,bowled,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
27,26,59,28,3,0,92.85,2,lbw,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
28,90,105,75,8,4,120.00,1,bowled,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
29,36,47,36,5,1,100.00,2,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
30,0,7,1,0,0,0.00,2,lbw,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
31,35,91,64,1,1,54.68,2,bowled,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
32,20,54,34,3,0,58.82,2,lbw,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
33,33,98,63,1,1,52.38,2,bowled,2,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
34,5,24,12,1,0,41.66,2,caught,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
35,16,40,31,2,0,51.61,2,lbw,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,86*,152,119,10,0,72.26,2,not out,2,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
2,59,123,81,3,1,72.83,2,bowled,2,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
3,82,-,102,5,1,80.39,2,run out,1,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
4,8,28,14,0,0,57.14,2,caught,1,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
5,23,44,25,4,0,92.00,2,lbw,1,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
6,36,71,59,5,0,61.01,2,bowled,1,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
7,36,56,49,5,0,73.46,2,bowled,2,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
8,39,-,69,1,0,56.52,2,bowled,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
9,51,117,78,3,1,65.38,2,bowled,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
10,89,182,121,8,0,73.55,2,bowled,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
11,55,71,55,6,2,100.00,2,bowled,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
12,7,37,14,0,0,50.00,2,caught,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
13,50,101,69,6,0,72.46,2,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
14,1,9,4,0,0,25.00,2,lbw,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
15,1,-,8,0,0,12.50,2,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
16,3,18,11,0,0,27.27,2,caught,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,9*,-,9,2,0,100.00,1,not out,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
2,4,10,9,0,0,44.44,2,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
3,0,7,1,0,0,0.00,2,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
4,16,52,33,2,0,48.48,2,lbw,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
5,20,66,45,1,0,44.44,2,caught,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
6,81,151,103,6,2,78.64,2,lbw,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
7,38,58,43,6,0,88.37,2,caught,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
8,18,45,27,2,0,66.66,2,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
9,47,88,49,8,0,95.91,2,bowled,2,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
10,59,85,67,10,0,88.05,2,bowled,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
11,26,59,28,3,0,92.85,2,lbw,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
12,90,105,75,8,4,120.00,1,bowled,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
13,36,47,36,5,1,100.00,2,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
14,0,7,1,0,0,0.00,2,lbw,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
15,35,91,64,1,1,54.68,2,bowled,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
16,20,54,34,3,0,58.82,2,lbw,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
17,33,98,63,1,1,52.38,2,bowled,2,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
18,5,24,12,1,0,41.66,2,caught,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
19,16,40,31,2,0,51.61,2,lbw,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
