,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,18,-,23,1,0,78.26,8,lbw,1,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
2,9,-,11,1,0,81.81,8,lbw,2,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
3,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
4,44*,82,47,3,0,93.61,7,not out,2,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
5,4,-,11,0,0,36.36,5,caught,1,,v Scotland,Rotterdam,19 May 2021,ODI # 4288
6,56,110,67,3,1,83.58,5,caught,1,,v Scotland,Rotterdam,20 May 2021,ODI # 4289
7,1,9,11,0,0,9.09,6,bowled,1,,v Ireland,Utrecht,2 Jun 2021,ODI # 4293
8,23,36,24,3,0,95.83,6,caught,1,,v Ireland,Utrecht,4 Jun 2021,ODI # 4294
9,0,9,7,0,0,0.00,3,caught,2,,v Ireland,Utrecht,7 Jun 2021,ODI # 4295
10,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,26 Nov 2021,ODI # 4337
11,68,111,82,8,0,82.92,1,bowled,2,,v Afghanistan,Doha,21 Jan 2022,ODI # 4345
12,86,-,120,9,0,71.66,1,lbw,2,,v Afghanistan,Doha,23 Jan 2022,ODI # 4348
13,54,92,74,5,1,72.97,1,lbw,2,,v Afghanistan,Doha,25 Jan 2022,ODI # 4350
14,1,6,7,0,0,14.28,5,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
15,6,14,8,0,0,75.00,5,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
16,9,10,9,1,0,100.00,5,caught,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
17,13,-,19,1,0,68.42,5,lbw,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
18,68,131,89,1,0,76.40,3,caught,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
19,18,29,19,1,0,94.73,5,caught,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
20,72*,86,56,5,1,128.57,6,not out,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
21,78,104,73,4,3,106.84,5,run out,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
22,64,102,72,2,0,88.88,5,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
23,71*,109,60,6,1,118.33,6,not out,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
24,5,-,9,0,0,55.55,6,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
25,6,10,6,1,0,100.00,6,bowled,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
26,7,11,11,1,0,63.63,6,lbw,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
27,36,43,28,2,1,128.57,5,caught,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
28,34,57,41,4,0,82.92,6,bowled,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
29,5,16,10,0,0,50.00,5,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
30,42,41,33,4,1,127.27,6,lbw,2,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
31,83,114,72,8,0,115.27,4,bowled,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
32,67*,88,60,6,0,111.66,6,not out,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
33,DNB,-,-,-,-,-,-,-,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
34,67,76,47,6,1,142.55,6,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
