,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,58*,-,51,3,2,113.72,6,not out,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
2,4,16,10,0,0,40.00,6,caught,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
3,8,20,8,0,0,100.00,6,caught,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
4,28,40,30,2,1,93.33,6,bowled,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
5,4,15,9,0,0,44.44,6,stumped,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
6,15,39,21,0,0,71.42,7,bowled,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
7,0,-,2,0,0,0.00,7,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
8,24,56,32,2,0,75.00,7,bowled,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
9,110*,125,96,9,3,114.58,7,not out,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
10,0,2,1,0,0,0.00,6,bowled,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
11,18,37,30,2,0,60.00,7,bowled,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
12,48,84,71,0,3,67.60,6,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
13,1,3,3,0,0,33.33,6,caught,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
14,58,76,68,5,0,85.29,5,caught,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
15,2*,4,2,0,0,100.00,5,not out,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
16,111,116,76,11,3,146.05,5,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
17,0,3,2,0,0,0.00,5,bowled,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
18,2,4,2,0,0,100.00,8,caught,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
19,10,14,11,1,0,90.90,5,caught,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
20,0,4,2,0,0,0.00,4,lbw,2,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
21,5,10,9,1,0,55.55,5,caught,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
22,21,28,26,2,1,80.76,5,run out,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,58*,-,51,3,2,113.72,6,not out,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
2,4,16,10,0,0,40.00,6,caught,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
3,8,20,8,0,0,100.00,6,caught,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
4,28,40,30,2,1,93.33,6,bowled,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
5,4,15,9,0,0,44.44,6,stumped,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
6,15,39,21,0,0,71.42,7,bowled,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
7,0,-,2,0,0,0.00,7,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
8,24,56,32,2,0,75.00,7,bowled,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,110*,125,96,9,3,114.58,7,not out,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
2,0,2,1,0,0,0.00,6,bowled,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
3,18,37,30,2,0,60.00,7,bowled,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
4,48,84,71,0,3,67.60,6,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
5,1,3,3,0,0,33.33,6,caught,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
6,58,76,68,5,0,85.29,5,caught,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
7,2*,4,2,0,0,100.00,5,not out,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
8,111,116,76,11,3,146.05,5,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
9,0,3,2,0,0,0.00,5,bowled,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
10,2,4,2,0,0,100.00,8,caught,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
11,10,14,11,1,0,90.90,5,caught,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
12,0,4,2,0,0,0.00,4,lbw,2,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
13,5,10,9,1,0,55.55,5,caught,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
14,21,28,26,2,1,80.76,5,run out,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
