,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,19,32,21,4,0,90.47,3,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
2,31,66,51,7,0,60.78,3,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
3,25,54,47,1,1,53.19,3,lbw,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
4,47,-,45,6,2,104.44,1,lbw,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
5,46,97,58,5,1,79.31,1,caught,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
6,54,75,55,7,1,98.18,1,bowled,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
7,13,13,14,1,0,92.85,1,bowled,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
8,10,18,20,1,0,50.00,1,caught,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
9,6,21,13,1,0,46.15,1,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
10,65,138,98,5,0,66.32,1,lbw,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
11,1,-,3,0,0,33.33,1,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
12,50,126,85,7,0,58.82,1,caught,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
13,8,21,21,1,0,38.09,1,caught,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
14,14,33,25,1,1,56.00,1,caught,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
15,27,68,49,3,0,55.10,1,caught,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
16,45,59,53,4,3,84.90,1,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
17,21,17,18,5,0,116.66,1,bowled,2,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
18,88,158,111,9,0,79.27,1,caught,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
19,8,14,11,1,0,72.72,1,caught,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
20,30,48,43,3,1,69.76,2,lbw,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
21,37,56,32,5,0,115.62,1,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
22,0,1,2,0,0,0.00,1,caught,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
23,110,136,109,11,2,100.91,1,caught,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
24,40,65,49,6,0,81.63,1,lbw,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
25,13,20,14,3,0,92.85,1,caught,2,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
26,52,97,67,4,1,77.61,1,caught,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
27,12,22,20,1,0,60.00,1,bowled,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,47,-,45,6,2,104.44,1,lbw,1,,v West Indies,Amstelveen,31 May 2022,ODI # 4392
2,46,97,58,5,1,79.31,1,caught,1,,v West Indies,Amstelveen,2 Jun 2022,ODI # 4395
3,54,75,55,7,1,98.18,1,bowled,2,,v West Indies,Amstelveen,4 Jun 2022,ODI # 4398
4,13,13,14,1,0,92.85,1,bowled,2,,v England,Amstelveen,17 Jun 2022,ODI # 4413
5,10,18,20,1,0,50.00,1,caught,1,,v England,Amstelveen,19 Jun 2022,ODI # 4414
6,6,21,13,1,0,46.15,1,caught,1,,v England,Amstelveen,22 Jun 2022,ODI # 4417
7,65,138,98,5,0,66.32,1,lbw,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
8,1,-,3,0,0,33.33,1,caught,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
9,50,126,85,7,0,58.82,1,caught,2,,v Pakistan,Rotterdam,21 Aug 2022,ODI # 4455
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,19,32,21,4,0,90.47,3,caught,1,,v New Zealand,Mount Maunganui,29 Mar 2022,ODI # 4378
2,31,66,51,7,0,60.78,3,caught,2,,v New Zealand,Hamilton,2 Apr 2022,ODI # 4381
3,25,54,47,1,1,53.19,3,lbw,2,,v New Zealand,Hamilton,4 Apr 2022,ODI # 4383
4,8,21,21,1,0,38.09,1,caught,2,,v Zimbabwe,Harare,21 Mar 2023,ODI # 4543
5,14,33,25,1,1,56.00,1,caught,2,,v Zimbabwe,Harare,23 Mar 2023,ODI # 4546
6,27,68,49,3,0,55.10,1,caught,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
7,45,59,53,4,3,84.90,1,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
8,21,17,18,5,0,116.66,1,bowled,2,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
9,88,158,111,9,0,79.27,1,caught,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
10,8,14,11,1,0,72.72,1,caught,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
11,30,48,43,3,1,69.76,2,lbw,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
12,37,56,32,5,0,115.62,1,caught,2,,v West Indies,Harare,26 Jun 2023,ODI # 4602
13,0,1,2,0,0,0.00,1,caught,2,,v Sri Lanka,Bulawayo,30 Jun 2023,ODI # 4606
14,110,136,109,11,2,100.91,1,caught,1,,v Oman,Harare,3 Jul 2023,ODI # 4611
15,40,65,49,6,0,81.63,1,lbw,2,,v Scotland,Bulawayo,6 Jul 2023,ODI # 4616
16,13,20,14,3,0,92.85,1,caught,2,,v Sri Lanka,Harare,9 Jul 2023,ODI # 4620
17,52,97,67,4,1,77.61,1,caught,2,,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
18,12,22,20,1,0,60.00,1,bowled,2,,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
