,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
1,35,62,55,1,0,63.63,4,bowled,1,,v Scotland,Amstelveen,1 Jul 2010,ODI # 3007
2,24,44,32,2,1,75.00,5,run out,1,,v Kenya,The Hague,3 Jul 2010,ODI # 3010
3,0,6,7,0,0,0.00,4,bowled,2,,v Canada,Rotterdam,5 Jul 2010,ODI # 3014
4,0,1,1,0,0,0.00,4,caught,1,,v Afghanistan,The Hague,7 Jul 2010,ODI # 3017
5,19,24,22,3,0,86.36,4,caught,2,,v Ireland,Amstelveen,9 Jul 2010,ODI # 3021
6,51*,53,40,4,3,127.50,6,not out,1,,v Afghanistan,Rotterdam,10 Jul 2010,ODI # 3024
7,64*,56,43,11,0,148.83,6,not out,2,,v Bangladesh,Glasgow,20 Jul 2010,ODI # 3029
8,9,24,22,1,0,40.90,4,caught,2,,v Ireland,Dublin,16 Aug 2010,ODI # 3034
9,6,-,25,0,0,24.00,4,lbw,1,,v Ireland,Dublin,18 Aug 2010,ODI # 3036
10,29,49,25,6,0,116.00,2,stumped,1,,v England,Nagpur,22 Feb 2011,ODI # 3104
11,0,4,5,0,0,0.00,2,caught,2,,v West Indies,Delhi,28 Feb 2011,ODI # 3112
12,44,98,66,5,0,66.66,2,stumped,2,,v South Africa,Mohali,3 Mar 2011,ODI # 3115
13,26,67,58,2,0,44.82,2,lbw,1,,v India,Delhi,9 Mar 2011,ODI # 3124
14,10,30,29,1,0,34.48,2,lbw,1,,v Bangladesh,Chattogram,14 Mar 2011,ODI # 3131
15,44,61,49,4,2,89.79,2,lbw,1,,v Ireland,Eden Gardens,18 Mar 2011,ODI # 3136
16,7,16,15,1,0,46.66,2,caught,2,,v Scotland,Aberdeen,28 Jun 2011,ODI # 3164
17,9,22,17,1,0,52.94,2,caught,1,,v Scotland,Aberdeen,29 Jun 2011,ODI # 3166
18,13,78,42,1,0,30.95,4,caught,2,,v Kenya,The Hague,12 Sep 2011,ODI # 3192
19,67,93,86,3,3,77.90,5,caught,2,,v Kenya,The Hague,13 Sep 2011,ODI # 3193
20,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Sharjah,29 Mar 2012,ODI # 3270
21,51,-,68,2,2,75.00,5,caught,1,,v Afghanistan,Sharjah,31 Mar 2012,ODI # 3271
22,0,4,3,0,0,0.00,3,lbw,2,,v South Africa,Amstelveen,31 May 2013,ODI # 3359
23,55,-,67,8,0,82.08,3,caught,2,,v Ireland,Amstelveen,7 Jul 2013,ODI # 3384
24,46,-,67,4,0,68.65,3,caught,2,,v Ireland,Amstelveen,9 Jul 2013,ODI # 3386
25,1,-,7,0,0,14.28,4,caught,1,,v Canada,King City (NW),27 Aug 2013,ODI # 3405
26,8*,25,19,1,0,42.10,3,not out,2,,v Canada,King City (NW),29 Aug 2013,ODI # 3407
27,137*,184,150,11,2,91.33,3,not out,1,,v Kenya,Lincoln,23 Jan 2014,ODI # 3460
28,28,23,21,4,1,133.33,3,lbw,2,,v Canada,Mount Maunganui,28 Jan 2014,ODI # 3464
29,12,-,22,1,0,54.54,4,caught,1,,v Nepal,Amstelveen,1 Aug 2018,ODI # 4026
30,71,-,89,8,0,79.77,4,lbw,2,,v Nepal,Amstelveen,3 Aug 2018,ODI # 4028
31,39*,61,47,4,1,82.97,5,not out,2,,v Zimbabwe,Deventer,19 Jun 2019,ODI # 4164
32,22,29,26,2,1,84.61,5,lbw,2,,v Zimbabwe,Deventer,21 Jun 2019,ODI # 4167
33,2,15,8,0,0,25.00,3,bowled,2,,v Pakistan,Rotterdam,16 Aug 2022,ODI # 4448
34,3,-,7,0,0,42.85,3,bowled,1,,v Pakistan,Rotterdam,18 Aug 2022,ODI # 4452
35,2,5,5,0,0,40.00,5,caught,1,,v Zimbabwe,Harare,25 Mar 2023,ODI # 4549
36,7,14,12,0,0,58.33,4,caught,1,,v South Africa,Benoni,31 Mar 2023,ODI # 4558
37,29,71,36,3,0,80.55,4,caught,2,,v South Africa,Johannesburg,2 Apr 2023,ODI # 4563
38,4,6,6,0,0,66.66,3,bowled,1,,v Zimbabwe,Harare,20 Jun 2023,ODI # 4589
39,29,52,44,6,0,65.90,3,lbw,2,,v U.S.A.,Harare,22 Jun 2023,ODI # 4594
40,3,7,4,0,0,75.00,3,caught,2,,v Nepal,Harare,24 Jun 2023,ODI # 4598
